점촌함창IC,상주IC,21.7
상주IC,낙동JC,8.4
낙동JC,김천JC,25.4
김천JC,성주IC,29.5
성주IC,고령JC,23.1
고령JC,헌풍JC,11.4
헌풍JC,창녕IC,18.2
창녕IC,칠원JC,33.5
칠원JC,내서JC,4.5
서창JC,군자JC,9.1
군자JC,서안산IC,3.0
서안산IC,안산JC,6.8
안산JC,북수원IC,14.5
북수원IC,동수원IC,7.4
동수원IC,신갈JC,6.1
신갈JC,용인IC,11.7
용인IC,호법JC,22.0
호법JC,이천IC,7.7
이천IC,여주JC,9.9
여주JC,여주IC,7.2
여주IC,만종JC,29.4
만종JC,원주JC,4.7
원주JC,둔내IC,42.8
둔내IC,진부IC,39.6
진부IC,강릉JC,36.5
경기광주JC,신평JC,52.9
신평JC,원주JC,3.0
춘천IC,춘천JC,13.9
춘천JC,홍천IC,13.4
홍천IC,횡성IC,26.5
횡성IC,신평JC,16.1
신평JC,만종 JC,2.7
만종 JC,남원주IC,5.6
남원주IC,제천IC,32.3
제천IC,제천JC,8.1
제천JC,단양IC,27.4
단양IC,영주IC,29.0
영주IC,예천IC,12.8
예천IC,서안동IC,13.8
서안동IC,안동JC,21.1
안동JC,의성IC,19.2
의성IC,군위IC,12.3
군위IC,군위JC,7.8
군위JC,금호JC,35.6
동대구JC,동대구IC,3.5
동대구IC,수성IC,4.3
수성IC,청도IC,24.6
청도IC,밀양JC,18.0
밀양JC,밀양IC,4.3
밀양IC,대동JC,36.7
대동JC,대감JC,2.6
대감JC,초정IC,5.0
초정IC,대저JC,1.3
대저JC,삼락IC,3.9
설악IC,춘천JC,29.9
춘천JC,인제IC,55.3
인제IC,양양JC,36.8
양양JC,양양IC,1.0
동부산IC,기장IC,9.6
기장IC,문수IC,30.0
문수IC,울산JC,3.7
근덕IC,삼척IC,10.9
삼척IC,동해IC,10.0
동해IC,강릉IC,41.8
강릉IC,강릉JC,4.3
강릉JC,하조대IC,33.3
하조대IC,양양JC,10.4
양양JC,속초IC,19.3
일산IC,고양JC,5.9
고양JC,통일로IC,3.1
통일로IC,호원IC,16.5
호원IC,의정부IC,4.2
의정부IC,구리IC,12.7
구리IC,남양주IC,2.0
남양주IC,하남JC,8.6
하남JC,서하남IC,4.6
서하남IC,송파IC,4.9
송파IC,성남IC,4.4
성남IC,판교JC,5.0
판교JC,평촌IC,15.0
평촌IC,산본IC,2.7
산본IC,조남JC,7.5
조남JC,도리IC,4.1
도리IC,안현JC,5.4
안현JC,중동IC,12.0
중동IC,서운JC,3.5
서운JC,계양IC,4.1
계양IC,노오지JC,3.0
노오지JC,김포IC,4.0
김포IC,일산IC,5.8
산인JC,내서JC,4.0
내서JC,서마산IC,6.6
서마산IC,동마산IC,5.2
동마산IC,창원JC,5.5
냉정JC,사상IC,20.3
진례JC,대청IC,5.9
대청IC,진해IC,4.8
공항신도시JC,송도IC,24.9
송도IC,능해IC,4.1
능해IC,문학IC,4.3
문학IC,서창JC,6.0
서창JC,안현JC,7.9
안현JC,일직JC,8.0
일직JC,석수IC,1.0
석수IC,북의왕IC,8.5
북의왕IC,판교JC,10.0
부평IC,서운JC,4.0
서운JC,부천IC,2.0
부천IC,신월IC,5.5
공항신도시JC,청라IC,20.1
청라IC,노오지JC,7.5
서공주JC,청양IC,17.8
청양IC,부여IC,14.1
부여IC,동서천JC,30.3
군자JC,서평택JC,40.2
금토JC,서분당IC,6.6
서분당IC,흥덕IC,10.9
유성JC,유성IC,3.6
유성IC,서대전JC,8.7
서대전JC,계룡IC,7.8
계룡IC,논산JC,28.6
고창JC,장성JC,18.7
장성JC,담양JC,20.2
담양JC,대덕JC,6.6
서대전JC,산내JC,13.2
상주JC,군위JC,38.4
군위JC,화산JC,34.3
화산JC,영천JC,19.7
서김포.통진IC,남청라IC,21.5
남청라IC,능해IC,8.7
마도JC,화성IC,3.7
화성IC,팔탄JC,6.3
팔탄JC,화성JC,8.6
화성JC,서오산JC,4.7
서오산JC,동탄JC,9.6
금호JC,서대구IC,2.5
서대구IC,남대구IC,4.8
남대구IC,화원옥포IC,6.1
화원옥포IC,옥포JC,1.4
옥포JC,현풍JC,16.1
양산JC,남양산IC,1.3
남양산IC,대동JC,7.9
대동JC,김해JC,9.7
진영JC,대감JC,27.3
대감JC,노포JC,12.6
노포JC,기장JC,11.2
중랑IC,구리IC,2.6
