0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,0,3,2,0,0,0,0,4,0,1,3,2,8,8,8,0,6,3,4,0,0
1,2,6,0,4,6,4,0,5,2,10,0,3,5,8,20,14,19,8,11,8,14,20,0
2,7,13,0,12,13,17,0,10,10,17,2,7,17,12,24,22,37,20,16,21,22,40,0
3,11,20,0,20,17,28,0,12,22,21,9,7,29,26,33,24,44,28,18,28,22,60,0
4,14,27,0,29,24,40,0,15,35,24,18,20,45,48,52,26,68,56,28,37,34,78,0
6,17,35,0,38,33,46,0,22,41,30,30,29,57,64,61,30,80,72,31,44,40,94,0
8,21,45,0,46,39,56,0,27,48,37,35,41,75,74,79,38,89,92,36,55,56,114,0
9,26,50,0,56,47,65,0,32,59,53,48,57,104,90,83,62,95,102,39,65,70,140,0
12,31,57,0,64,56,74,0,35,69,66,61,65,123,114,96,86,101,134,44,77,76,146,0
13,36,64,0,72,62,82,0,40,82,74,73,76,137,126,107,112,112,158,46,91,88,168,0
14,41,74,0,79,68,94,0,42,91,84,81,85,149,128,125,152,128,182,62,121,104,176,0
16,45,80,0,86,75,97,0,49,104,92,93,96,173,136,144,176,137,196,70,143,114,196,0
18,51,82,0,90,79,106,0,53,118,97,104,107,191,144,149,200,139,206,69,169,116,216,0
20,54,86,0,100,84,110,0,51,126,98,114,125,205,166,147,226,137,218,80,191,114,208,0
21,51,82,0,98,85,102,0,48,128,95,126,133,209,182,160,234,124,230,81,193,116,204,0
22,50,81,0,98,88,100,0,49,136,97,129,145,211,174,159,260,129,238,89,216,130,194,0
23,51,81,0,96,87,95,0,50,137,103,130,140,215,168,155,276,109,224,89,232,128,194,0
24,51,80,2,92,85,96,0,45,137,103,126,143,225,170,160,292,109,232,92,256,134,202,0
24,50,76,7,92,87,92,0,44,144,104,134,136,232,176,161,306,111,226,98,281,130,214,0
24,50,76,18,88,84,90,0,44,144,92,134,132,220,166,172,296,109,232,102,295,124,228,0
