0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,0,9,0,1,3,0,0,2,2,3,0,0,2,1,2,3,7,2,4,2,0,3,0
0,2,3,8,0,4,3,8,0,9,6,6,4,0,1,3,6,6,4,4,4,2,5,15,0
0,8,11,15,0,11,12,16,0,5,11,2,4,1,4,0,6,0,3,3,2,2,3,9,0
0,7,13,22,0,15,14,15,0,11,8,6,11,7,5,5,1,3,4,6,5,6,5,9,0
0,13,8,17,0,13,14,13,0,9,6,6,3,5,8,2,12,1,8,2,3,5,6,9,0
0,5,5,20,0,16,14,17,0,6,12,5,10,9,7,9,9,6,8,8,4,7,5,6,0
0,11,6,13,0,11,20,20,0,13,12,8,4,5,10,7,12,9,7,6,4,10,2,0,0
0,11,15,18,0,14,22,21,0,6,10,8,10,10,13,0,15,10,6,6,3,11,0,0,0
0,18,12,21,0,15,17,14,0,5,7,11,8,8,12,8,13,7,12,9,1,10,2,0,0
0,15,5,9,0,15,12,22,0,10,12,9,13,8,14,2,0,6,3,5,7,6,5,0,0
0,14,8,16,0,16,14,16,0,6,13,12,11,5,0,4,0,0,8,0,2,12,3,0,0
0,7,8,15,0,19,14,27,0,7,13,5,9,8,0,7,0,0,6,0,9,3,1,0,0
0,26,13,15,0,14,19,11,0,8,14,8,8,6,0,3,0,0,0,0,7,0,7,0,0
0,16,18,17,0,22,23,23,0,6,0,9,13,4,0,1,0,0,0,0,2,0,7,0,0
0,17,11,27,0,31,13,11,0,7,0,12,6,0,0,0,0,0,0,0,8,0,5,0,0
0,8,11,19,0,20,26,0,0,12,0,10,17,0,0,0,0,0,0,0,6,0,0,0,0
0,11,16,19,0,11,17,0,0,11,0,4,12,0,0,0,0,0,0,0,4,0,0,0,0
0,10,12,25,0,16,19,0,0,5,0,11,5,0,0,0,0,0,0,0,7,0,0,44,0
0,16,7,16,0,16,26,0,0,7,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0
0,13,11,20,0,20,21,0,0,5,0,8,0,0,0,0,0,0,0,0,4,0,0,0,0
0,8,6,10,0,11,14,0,0,3,0,6,0,0,0,0,62,0,0,0,3,0,0,0,0
0,12,5,18,0,6,10,0,0,5,0,6,0,0,61,0,0,44,0,45,4,0,0,0,0
0,9,5,17,0,10,19,0,0,4,0,9,0,0,0,0,0,0,0,0,6,0,0,0,0
0,13,11,17,0,17,15,0,0,7,0,14,0,0,0,0,0,0,50,0,9,72,0,0,0
0,9,8,20,0,20,8,0,0,9,111,9,0,0,0,0,0,0,0,0,4,0,0,0,0
0,16,14,15,0,27,20,0,0,6,0,9,0,71,0,49,0,0,0,0,10,0,0,0,0
