택배번호,출발지,출발시간,거리,통행량,경유지1,하차시간,상차시간,거리,통행량,경유지2,하차시간,상차시간,거리,통행량,경유지3,하차시간,상차시간,거리,통행량,도착지,도착시간
001P10088,대전 대덕구,0,1,중부권 광역우편물류센터,3,15,경기 하남시,26,0,,대전 대덕구,중부권 광역우편물류센터,47,1,중부권 광역우편물류센터,경기 하남시,228,1
001P10091,전남 진도군,0,1,광주 우편집중국,9,21,전남 화순군,25,0,,전남 진도군,광주 우편집중국,153,2,광주 우편집중국,전남 화순군,71,2
001P10092,충남 청양군,0,1,중부권 광역우편물류센터,7,19,충남 서천군,27,0,,충남 청양군,중부권 광역우편물류센터,110,1,중부권 광역우편물류센터,충남 서천군,164,1
001P10097,경남 김해시,0,1,충북 단양군,17,0,,경남 김해시,충북 단양군,313,1
001P10106,강원 횡성군,0,1,원주 우편집중국,4,16,경북 봉화군,22,0,,강원 횡성군,원주 우편집중국,54,2,원주 우편집중국,경북 봉화군,127,1
001P10107,경북 상주시,0,1,서울 강북구,13,0,,경북 상주시,서울 강북구,240,1
001P10108,인천 연수구,0,1,강원 강릉시,16,0,,인천 연수구,강원 강릉시,303,1
001P10109,전북 임실군,0,1,진주 우편집중국,10,22,대구 남구,30,0,,전북 임실군,진주 우편집중국,180,1,진주 우편집중국,대구 남구,157,1
001P10110,전남 무안군,0,1,전남 함평군,3,0,,전남 무안군,전남 함평군,43,1
001P10116,전남 여수시,0,1,부산 남구,11,0,,전남 여수시,부산 남구,206,1
001P10117,대전 서구,0,1,중부권 광역우편물류센터,4,16,서울 동대문구,27,0,,대전 서구,중부권 광역우편물류센터,54,1,중부권 광역우편물류센터,서울 동대문구,226,1
001P10119,전북 정읍시,0,1,강원 속초시,27,0,,전북 정읍시,강원 속초시,510,1
001P10122,부산 영도구,0,1,경북 포항시 북구,13,0,,부산 영도구,경북 포항시 북구,237,1
001P10129,서울 도봉구,0,1,서울 광진구,4,0,,서울 도봉구,서울 광진구,51,1
001P10132,경기 시흥시,0,1,부천 우편집중국,4,16,충남 청양군,27,0,,경기 시흥시,부천 우편집중국,53,2,부천 우편집중국,충남 청양군,214,1
001P10134,대전 중구,0,1,중부권 광역우편물류센터,3,15,전북 전주시 완산구,21,0,,대전 중구,중부권 광역우편물류센터,38,2,중부권 광역우편물류센터,전북 전주시 완산구,116,1
001P10135,충북 청주시 서원구,0,1,경남 창원시 마산회원구,15,0,,충북 청주시 서원구,경남 창원시 마산회원구,290,1
001P10137,전남 무안군,0,1,경기 안양시 만안구,19,0,,전남 무안군,경기 안양시 만안구,365,1
001P10138,전북 남원시,0,1,중부권 광역우편물류센터,10,22,전북 정읍시,30,0,,전북 남원시,중부권 광역우편물류센터,176,1,중부권 광역우편물류센터,전북 정읍시,152,1
001P10140,부산 중구,0,1,경기 용인시 처인구,21,0,,부산 중구,경기 용인시 처인구,408,1
001P10142,경기 성남시 중원구,0,1,충남 청양군,10,0,,경기 성남시 중원구,충남 청양군,177,1
001P10145,강원 춘천시,0,1,고양 우편집중국,13,25,경기 김포시,27,0,,강원 춘천시,고양 우편집중국,231,1,고양 우편집중국,경기 김포시,36,1
001P10149,전남 곡성군,0,1,대전 중구,13,0,,전남 곡성군,대전 중구,233,1
001P10153,경남 밀양시,0,1,부산 우편집중국,5,17,경남 통영시,26,0,,경남 밀양시,부산 우편집중국,74,1,부산 우편집중국,경남 통영시,180,1
001P10159,경북 고령군,0,1,경기 안양시 동안구,18,0,,경북 고령군,경기 안양시 동안구,339,1
001P10160,경기 부천시,0,1,대전 우편집중국,13,25,세종특별자치시,28,0,,경기 부천시,대전 우편집중국,240,1,대전 우편집중국,세종특별자치시,56,1
001P10161,경기 의왕시,0,1,성남 우편집중국,4,16,서울 동대문구,19,0,,경기 의왕시,성남 우편집중국,66,1,성남 우편집중국,서울 동대문구,51,1
001P10165,경기 여주시,0,1,전남 광양시,21,0,,경기 여주시,전남 광양시,396,1
001P10167,강원 철원군,0,1,전북 부안군,18,0,,강원 철원군,전북 부안군,337,1
001P10172,부산 금정구,0,1,서울 금천구,24,0,,부산 금정구,서울 금천구,457,1
001P10176,경남 창원시 마산합포구,0,1,경북 영덕군,12,0,,경남 창원시 마산합포구,경북 영덕군,218,2
001P10178,강원 춘천시,0,1,충남 논산시,17,0,,강원 춘천시,충남 논산시,324,1
001P10181,서울 영등포구,0,1,전북 무주군,16,0,,서울 영등포구,전북 무주군,300,1
001P10182,광주 북구,0,1,부산 동래구,18,0,,광주 북구,부산 동래구,331,1
001P10184,강원 영월군,0,1,청주 우편집중국,9,21,충북 증평군,24,0,,강원 영월군,청주 우편집중국,162,1,청주 우편집중국,충북 증평군,58,1
001P10185,충남 금산군,0,1,대구 남구,11,0,,충남 금산군,대구 남구,205,1
001P10188,경남 함양군,0,1,경북 고령군,6,0,,경남 함양군,경북 고령군,91,1
001P10190,전남 영광군,0,1,경기 성남시 수정구,17,0,,전남 영광군,경기 성남시 수정구,321,1
001P10194,충북 청주시 청원구,0,1,충남 공주시,7,0,,충북 청주시 청원구,충남 공주시,116,1
001P10195,부산 부산진구,0,1,울산 동구,8,0,,부산 부산진구,울산 동구,145,1
001P10196,경북 청송군,0,1,서울 관악구,17,0,,경북 청송군,서울 관악구,324,1
001P10202,경북 구미시,0,1,경북 봉화군,9,0,,경북 구미시,경북 봉화군,153,1
001P10205,경기 고양시 덕양구,0,1,경북 경산시,20,0,,경기 고양시 덕양구,경북 경산시,386,1
001P10210,충북 보은군,0,1,서울 구로구,13,0,,충북 보은군,서울 구로구,249,1
001P10212,인천 강화군,0,1,동서울 우편집중국,8,20,서울 광진구,22,0,,인천 강화군,동서울 우편집중국,144,1,동서울 우편집중국,서울 광진구,30,1
001P10219,강원 원주시,0,1,천안 우편집중국,11,23,충남 아산시,25,0,,강원 원주시,천안 우편집중국,197,1,천안 우편집중국,충남 아산시,45,2
001P10221,경기 오산시,0,1,경기 김포시,7,0,,경기 오산시,경기 김포시,121,1
001P10222,경남 통영시,0,1,경북 울진군,16,0,,경남 통영시,경북 울진군,306,1
001P10224,서울 금천구,0,1,전남 함평군,19,0,,서울 금천구,전남 함평군,353,1
001P10229,경남 양산시,0,1,전남 광양시,11,0,,경남 양산시,전남 광양시,190,1
001P10236,경남 창원시 마산합포구,0,1,경북 영덕군,12,0,,경남 창원시 마산합포구,경북 영덕군,218,2
001P10239,전북 장수군,0,1,전남 광양시,10,0,,전북 장수군,전남 광양시,177,1
001P10240,경기 수원시 권선구,0,1,강원 동해시,16,0,,경기 수원시 권선구,강원 동해시,301,1
001P10242,경기 고양시 일산동구,0,1,경기 구리시,5,0,,경기 고양시 일산동구,경기 구리시,74,1
001P10243,대구 달서구,0,1,대구 우편집중국,3,15,울산 중구,23,0,,대구 달서구,대구 우편집중국,48,2,대구 우편집중국,울산 중구,169,1
001P10248,경북 고령군,0,1,광주 우편집중국,12,24,전남 영광군,28,0,,경북 고령군,광주 우편집중국,218,1,광주 우편집중국,전남 영광군,82,1
001P10249,경기 광주시,0,1,성남 우편집중국,5,17,서울 노원구,21,0,,경기 광주시,성남 우편집중국,72,1,성남 우편집중국,서울 노원구,80,1
001P10252,경기 과천시,0,1,대구 달서구,17,0,,경기 과천시,대구 달서구,318,1
001P10253,충남 홍성군,0,1,서울 성동구,10,0,,충남 홍성군,서울 성동구,185,1
002P10001,서울 구로구,0,2,경기 가평군,15,0,,서울 구로구,경기 가평군,263,1
002P10002,전북 남원시,0,2,경기 이천시,18,0,,전북 남원시,경기 이천시,321,1
002P10005,경기 안산시 상록구,0,2,인천 중구,5,0,,경기 안산시 상록구,인천 중구,69,1
002P10007,부산 금정구,0,2,부산 우편집중국,5,17,부산 부산진구,21,0,,부산 금정구,부산 우편집중국,60,2,부산 우편집중국,부산 부산진구,70,1
