택배번호,출발지,출발시간,거리,통행량,경유지1,하차시간,상차시간,거리,통행량,경유지2,하차시간,상차시간,거리,통행량,경유지3,하차시간,상차시간,거리,통행량,도착지,도착시간
중부권 광역우편물류센터,서울 종로구,226,1
경기 군포시,경기 여주시,121,1
대구 우편집중국,경북 경산시,54,1
경남 함양군,전북 정읍시,172,1
천안 우편집중국,충남 천안시 동남구,30,1
부산 우편집중국,부산 강서구,34,1
진주 우편집중국,전북 군산시,306,1
경기 동두천시,전북 무주군,318,1
청주 우편집중국,경기 의정부시,189,1
서울 광진구,대전 동구,242,1
전남 영광군,경기 광명시,329,1
대구 우편집중국,경북 성주군,88,1
수원 우편집중국,경기 평택시,105,1
안동 우편집중국,경북 청송군,90,1
중부권 광역우편물류센터,서울 서초구,221,1
성남 우편집중국,경기 용인시 기흥구,58,1
중부권 광역우편물류센터,부산 사상구,308,1
광주 우편집중국,서울 강동구,332,1
원주 우편집중국,강원 양구군,108,1
서울 은평구,경남 거창군,396,1
인천 연수구,경기 용인시 수지구,85,1
중부권 광역우편물류센터,충북 보은군,106,1
청주 우편집중국,충북 청주시 흥덕구,44,1
중부권 광역우편물류센터,경기 안성시,173,1
중부권 광역우편물류센터,강원 강릉시,368,1
대구 우편집중국,강원 강릉시,394,1
강원 인제군,경기 광주시,204,1
동서울 우편집중국,서울 강동구,54,1
전북 진안군,인천 서구,321,1
중부권 광역우편물류센터,경기 연천군,286,1
원주 우편집중국,강원 홍천군,81,1
진주 우편집중국,전북 익산시,200,1
부천 우편집중국,인천 중구,66,1
강원 원주시,전남 곡성군,428,1
강릉 우편집중국,강원 강릉시,30,1
중부권 광역우편물류센터,경북 경주시,276,1
중부권 광역우편물류센터,부산 금정구,315,1
중부권 광역우편물류센터,전북 고창군,204,1
중부권 광역우편물류센터,충남 천안시 동남구,133,1
대전 우편집중국,서울 양천구,251,1
부천 우편집중국,인천 서구,47,1
영암 우편집중국,전남 순천시,153,1
천안 우편집중국,충남 예산군,113,1
동서울 우편집중국,경기 남양주시,40,1
부산 우편집중국,부산 서구,70,1
부천 우편집중국,인천 강화군,96,1
중부권 광역우편물류센터,경기 고양시 일산동구,268,1
중부권 광역우편물류센터,전남 영암군,310,1
창원 우편집중국,경남 창원시 마산회원구,30,1
진주 우편집중국,전북 장수군,133,1
강원 고성군,충북 청주시 상당구,380,1
중부권 광역우편물류센터,전남 담양군,207,1
중부권 광역우편물류센터,충남 금산군,50,1
창원 우편집중국,광주 북구,266,1
중부권 광역우편물류센터,전북 완주군,108,1
중부권 광역우편물류센터,서울 도봉구,253,1
인천 남동구,전남 곡성군,378,1
강원 횡성군,부산 남구,405,1
중부권 광역우편물류센터,전남 강진군,310,1
순천 집중과,전남 고흥군,58,1
부산 강서구,경북 칠곡군,174,1
강릉 우편집중국,강원 평창군,110,1
중부권 광역우편물류센터,인천 동구,253,1
수원 우편집중국,경기 수원시 권선구,77,1
전남 담양군,서울 영등포구,374,1
강원 인제군,경기 남양주시,228,1
성남 우편집중국,전남 여수시,360,1
중부권 광역우편물류센터,울산 울주군,320,1
원주 우편집중국,울산 동구,333,1
대전 우편집중국,대전 유성구,46,1
중부권 광역우편물류센터,전남 영광군,219,1
동서울 우편집중국,서울 은평구,72,1
부산 우편집중국,부산 동구,35,1
중부권 광역우편물류센터,강원 영월군,231,1
충북 단양군,경기 파주시,243,1
부산 우편집중국,충남 공주시,349,1
대구 우편집중국,충남 부여군,281,1
서울 송파구,전남 구례군,324,1
대전 우편집중국,대전 중구,57,1
서울 도봉구,경남 창원시 의창구,406,1
부천 우편집중국,인천 동구,74,1
울산 우편집중국,울산 울주군,35,1
영암 우편집중국,전남 강진군,50,1
대구 우편집중국,경남 거제시,227,1
대구 중구,경남 합천군,80,1
부천 우편집중국,인천 옹진군,66,1
부천 우편집중국,인천 서구,47,1
서울 동대문구,경기 여주시,119,1
강릉 우편집중국,경기 안산시 단원구,281,1
울산 중구,부산 서구,145,1
성남 우편집중국,경기 성남시 수정구,43,1
중부권 광역우편물류센터,전북 임실군,146,1
경남 산청군,대구 남구,143,1
성남 우편집중국,서울 양천구,88,1
강릉 우편집중국,강원 동해시,72,1
경기 포천시,경남 함양군,389,1
충남 계룡시,경남 창원시 마산합포구,274,1
전남 영광군,부산 동래구,361,1
전남 고흥군,강원 평창군,491,1
중부권 광역우편물류센터,충북 제천시,231,1
중부권 광역우편물류센터,경기 김포시,262,1
중부권 광역우편물류센터,광주 동구,215,1
영암 우편집중국,전남 영암군,50,1
서울 동작구,경기 시흥시,75,1
진주 우편집중국,전북 부안군,270,1
대구 우편집중국,대구 동구,50,1
중부권 광역우편물류센터,충남 천안시 동남구,133,1
의정부 우편집중국,경기 연천군,55,1
고양 우편집중국,경기 고양시 일산동구,30,1
원주 우편집중국,강원 태백시,227,1
진주 우편집중국,인천 부평구,427,1
안동 우편집중국,경북 의성군,70,1
중부권 광역우편물류센터,부산 사상구,308,1
성남 우편집중국,경기 군포시,56,1
부산 부산진구,경남 창원시 의창구,88,1
충남 공주시,경기 광주시,191,1
중부권 광역우편물류센터,강원 화천군,317,1
부산 우편집중국,경남 밀양시,74,1
수원 우편집중국,경기 오산시,86,1
전북 임실군,충남 금산군,166,1
영암 우편집중국,전남 해남군,50,1
중부권 광역우편물류센터,경기 화성시,207,1
중부권 광역우편물류센터,충남 서산시,161,1
부산 연제구,경기 수원시 영통구,458,1
서울 강서구,부산 영도구,485,1
경북 경산시,경남 창원시 의창구,156,1
중부권 광역우편물류센터,충남 논산시,100,1
경북 영양군,경북 경산시,179,1
대구 우편집중국,대구 달서구,48,1
광주 우편집중국,전남 함평군,108,1
경북 포항시 북구,강원 횡성군,363,1
중부권 광역우편물류센터,대구 북구,192,1
중부권 광역우편물류센터,충남 서천군,164,1
청주 우편집중국,충북 청주시 서원구,30,1
중부권 광역우편물류센터,부산 기장군,350,1
대구 우편집중국,대구 북구,30,1
청주 우편집중국,충북 청주시 흥덕구,44,1
강원 강릉시,부산 사하구,533,1
광주 우편집중국,강원 고성군,557,1
대전 우편집중국,충남 계룡시,30,1
중부권 광역우편물류센터,경남 고성군,223,1
진주 우편집중국,경남 진주시,34,1
서울 동대문구,경기 구리시,73,1
부산 우편집중국,경기 고양시 일산동구,471,1
부산 우편집중국,충북 청주시 상당구,295,1
서울 도봉구,광주 서구,427,1
중부권 광역우편물류센터,인천 동구,253,1
부천 우편집중국,인천 강화군,96,1
성남 우편집중국,경기 이천시,94,1
중부권 광역우편물류센터,충북 청주시 상당구,84,1
중부권 광역우편물류센터,서울 관악구,229,1
중부권 광역우편물류센터,경북 경주시,276,1
진주 우편집중국,부산 연제구,143,1
중부권 광역우편물류센터,충북 괴산군,211,1
부산 우편집중국,경남 밀양시,74,1
중부권 광역우편물류센터,전남 진도군,290,1
중부권 광역우편물류센터,전북 부안군,199,1
중부권 광역우편물류센터,인천 서구,266,1
경남 거창군,경남 진주시,120,1
부산 사상구,경북 청도군,132,1
중부권 광역우편물류센터,강원 횡성군,264,1
대구 우편집중국,경북 성주군,88,1
원주 우편집중국,경북 칠곡군,264,1
중부권 광역우편물류센터,서울 관악구,229,1
중부권 광역우편물류센터,강원 춘천시,317,1
중부권 광역우편물류센터,경남 창녕군,216,1
중부권 광역우편물류센터,경남 산청군,150,1
전남 곡성군,경기 평택시,292,1
원주 우편집중국,충북 제천시,62,1
동서울 우편집중국,경기 하남시,51,1
경기 안성시,경기 고양시 일산동구,152,1
경북 예천군,서울 서초구,246,1
중부권 광역우편물류센터,전북 김제시,184,1
동서울 우편집중국,경기 가평군,213,1
경기 하남시,경남 함안군,376,1
광주 우편집중국,전남 담양군,70,1
부천 우편집중국,강원 춘천시,242,1
창원 우편집중국,경남 거제시,136,1
동서울 우편집중국,전남 고흥군,418,1
성남 우편집중국,경기 용인시 수지구,58,1
중부권 광역우편물류센터,경기 성남시 분당구,209,1
부천 우편집중국,서울 동작구,91,1
중부권 광역우편물류센터,충북 단양군,250,1
충북 보은군,대구 남구,156,1
중부권 광역우편물류센터,서울 도봉구,253,1
대구 동구,경북 칠곡군,75,1
부천 우편집중국,경북 봉화군,267,1
울산 중구,전남 담양군,350,1
서울 동대문구,부산 영도구,450,1
중부권 광역우편물류센터,경남 함안군,232,1
서울 성동구,충북 제천시,183,1
중부권 광역우편물류센터,경기 용인시 처인구,208,1
경남 창원시 성산구,경북 상주시,226,1
전북 임실군,부산 금정구,293,1
천안 우편집중국,충남 천안시 동남구,30,1
청주 우편집중국,충북 영동군,127,1
부산 우편집중국,서울 도봉구,441,1
인천 계양구,경남 창원시 마산회원구,428,1
중부권 광역우편물류센터,강원 횡성군,264,1
청주 우편집중국,충북 충주시,44,1
진주 우편집중국,전북 부안군,270,1
중부권 광역우편물류센터,경기 안양시 만안구,228,1
중부권 광역우편물류센터,경북 칠곡군,167,1
영암 우편집중국,전남 완도군,50,1
광주 우편집중국,광주 광산구,202,1
충남 서산시,전남 장흥군,341,1
중부권 광역우편물류센터,전북 임실군,146,1
경북 울진군,충남 홍성군,423,1
중부권 광역우편물류센터,경기 의왕시,210,1
부산 우편집중국,인천 동구,472,1
대구 우편집중국,대구 남구,43,1
대전 우편집중국,대전 중구,57,1
대구 우편집중국,대구 남구,43,1
중부권 광역우편물류센터,충북 청주시 청원구,100,1
원주 우편집중국,강원 원주시,30,1
부산 우편집중국,부산 사하구,70,1
진주 우편집중국,경기 양주시,441,1
중부권 광역우편물류센터,경기 성남시 중원구,215,1
중부권 광역우편물류센터,경북 예천군,229,1
중부권 광역우편물류센터,충남 홍성군,187,1
중부권 광역우편물류센터,충북 청주시 청원구,100,1
성남 우편집중국,경기 성남시 수정구,43,1
순천 집중과,경기 용인시 수지구,344,1
동서울 우편집중국,서울 중구,84,1
중부권 광역우편물류센터,부산 수영구,315,1
광주 서구,부산 사상구,402,1
경기 수원시 권선구,세종특별자치시,176,1
중부권 광역우편물류센터,경기 수원시 권선구,210,1
중부권 광역우편물류센터,경기 김포시,262,1
대구 우편집중국,대구 남구,43,1
진주 우편집중국,경북 영주시,282,1
강릉 우편집중국,강원 삼척시,82,1
대구 우편집중국,대구 수성구,50,1
중부권 광역우편물류센터,충북 단양군,250,1
청주 우편집중국,충북 보은군,87,1
천안 우편집중국,경남 산청군,254,1
영암 우편집중국,전남 해남군,50,1
원주 우편집중국,경북 안동시,153,1
경기 안산시 단원구,경기 이천시,106,1
의정부 우편집중국,경기 부천시,114,1
경북 영천시,경기 의왕시,359,1
순천 집중과,전남 광양시,47,1
진주 우편집중국,경남 거창군,124,1
중부권 광역우편물류센터,경남 창원시 진해구,295,1
강릉 우편집중국,강원 고성군,97,1
서울 용산구,경기 군포시,64,1
부산 금정구,충북 청주시 청원구,348,1
부천 우편집중국,인천 강화군,96,1
경남 의령군,경기 용인시 기흥구,380,1
대구 우편집중국,대구 달서구,48,1
강원 평창군,충북 옥천군,286,1
중부권 광역우편물류센터,경남 하동군,227,1
의정부 우편집중국,서울 중랑구,48,1
중부권 광역우편물류센터,대구 서구,184,1
진주 우편집중국,강원 화천군,457,1
중부권 광역우편물류센터,서울 서초구,221,1
부산 금정구,경기 포천시,490,1
포항 우편집중국,경북 포항시 남구,30,1
중부권 광역우편물류센터,경북 영천시,274,1
광주 우편집중국,전남 함평군,108,1
경기 오산시,경남 창원시 마산회원구,367,1
동서울 우편집중국,서울 강동구,54,1
부천 우편집중국,인천 연수구,70,1
대전 우편집중국,대전 유성구,46,1
진주 우편집중국,경남 사천시,42,1
광주 우편집중국,전남 영광군,82,1
대구 달서구,충북 청주시 상당구,183,1
대전 우편집중국,충남 부여군,116,1
순천 집중과,전남 보성군,84,1
강원 속초시,충남 당진시,374,1
대구 우편집중국,대구 남구,43,1
중부권 광역우편물류센터,전남 나주시,276,1
창원 우편집중국,경남 창원시 마산회원구,30,1
부천 우편집중국,경기 양주시,120,1
고양 우편집중국,경기 고양시 일산서구,30,1
원주 우편집중국,강원 영월군,62,1
수원 우편집중국,경기 수원시 권선구,77,1
강원 화천군,경남 하동군,500,1
중부권 광역우편물류센터,충남 예산군,128,1
진주 우편집중국,서울 강남구,397,1
성남 우편집중국,경기 의왕시,66,1
중부권 광역우편물류센터,서울 금천구,229,1
중부권 광역우편물류센터,충남 공주시,84,1
중부권 광역우편물류센터,서울 강북구,253,1
중부권 광역우편물류센터,전남 영암군,310,1
강원 양구군,경북 포항시 북구,417,1
중부권 광역우편물류센터,서울 송파구,220,1
전북 전주시 덕진구,경남 합천군,180,1
중부권 광역우편물류센터,강원 원주시,256,1
충북 제천시,경남 진주시,351,1
경기 수원시 영통구,충남 논산시,202,1
서울 강남구,강원 동해시,309,1
강원 고성군,서울 성북구,289,1
서울 은평구,광주 서구,438,1
중부권 광역우편물류센터,경북 고령군,192,1
안동 우편집중국,부산 영도구,279,1
중부권 광역우편물류센터,경기 성남시 중원구,215,1
광주 우편집중국,인천 부평구,363,1
서울 동대문구,경기 포천시,119,1
중부권 광역우편물류센터,부산 연제구,315,1
중부권 광역우편물류센터,경남 양산시,300,1
진주 우편집중국,전북 완주군,189,1
광주 우편집중국,전북 순창군,90,1
중부권 광역우편물류센터,서울 서초구,221,1
중부권 광역우편물류센터,서울 서초구,221,1
중부권 광역우편물류센터,대구 북구,192,1
서울 종로구,부산 사하구,450,1
경남 의령군,인천 동구,440,1
중부권 광역우편물류센터,경북 문경시,187,1
부천 우편집중국,서울 양천구,36,1
부산 북구,전남 광양시,190,1
성남 우편집중국,경기 용인시 수지구,58,1
동서울 우편집중국,서울 강동구,54,1
중부권 광역우편물류센터,서울 양천구,258,1
중부권 광역우편물류센터,부산 기장군,350,1
안동 우편집중국,경북 상주시,97,1
수원 우편집중국,경기 수원시 권선구,77,1
부산 서구,충북 단양군,334,1
대전 우편집중국,대전 동구,57,1
청주 우편집중국,충북 청주시 흥덕구,44,1
전북 고창군,경남 거창군,190,1
창원 우편집중국,충남 서천군,372,1
광주 우편집중국,전남 구례군,128,1
울산 우편집중국,전남 함평군,433,1
부천 우편집중국,울산 동구,434,1
경북 포항시 북구,충남 계룡시,290,1
성남 우편집중국,경기 용인시 기흥구,58,1
부천 우편집중국,인천 동구,74,1
의정부 우편집중국,경기 포천시,52,1
대구 우편집중국,경북 울진군,109,1
부천 우편집중국,경기 시흥시,53,1
전북 전주시 덕진구,전남 진도군,238,1
부산 우편집중국,부산 동구,35,1
경기 가평군,경기 의왕시,225,1
중부권 광역우편물류센터,대전 서구,54,1
부산 우편집중국,인천 중구,464,1
울산 우편집중국,경남 양산시,94,1
경남 사천시,충북 옥천군,220,1
진주 우편집중국,전북 익산시,200,1
충남 예산군,강원 평창군,283,1
성남 우편집중국,경기 안양시 동안구,56,1
중부권 광역우편물류센터,경북 울진군,271,1
대전 우편집중국,전북 임실군,123,1
안동 우편집중국,경북 청송군,90,1
중부권 광역우편물류센터,경북 영덕군,271,1
원주 우편집중국,충북 제천시,62,1
서울 노원구,대전 중구,246,1
중부권 광역우편물류센터,부산 동래구,315,1
중부권 광역우편물류센터,전남 무안군,257,1
광주 우편집중국,전남 영광군,82,1
의정부 우편집중국,강원 철원군,55,1
중부권 광역우편물류센터,경기 안산시 상록구,212,1
수원 우편집중국,경기 평택시,105,1
고양 우편집중국,서울 마포구,42,1
강원 강릉시,대구 남구,386,1
동서울 우편집중국,서울 성동구,84,1
중부권 광역우편물류센터,경기 용인시 처인구,208,1
중부권 광역우편물류센터,인천 강화군,274,1
서울 금천구,충남 태안군,127,1
전남 진도군,서울 송파구,397,1
경북 영주시,경북 포항시 북구,242,1
창원 우편집중국,경남 함안군,49,1
중부권 광역우편물류센터,부산 동래구,315,1
충북 청주시 청원구,전남 영암군,367,1
성남 우편집중국,경기 안양시 동안구,56,1
경기 고양시 일산동구,전남 신안군,418,1
중부권 광역우편물류센터,충북 진천군,140,1
경남 사천시,충북 청주시 흥덕구,266,1
순천 집중과,전남 광양시,47,1
청주 우편집중국,충북 청주시 서원구,30,1
충남 청양군,경기 고양시 덕양구,229,1
부산 우편집중국,부산 동래구,60,1
중부권 광역우편물류센터,부산 강서구,299,1
전북 고창군,부산 해운대구,438,1
동서울 우편집중국,경기 연천군,79,1
광주 우편집중국,전남 강진군,173,1
중부권 광역우편물류센터,서울 종로구,226,1
중부권 광역우편물류센터,경북 예천군,229,1
중부권 광역우편물류센터,경남 고성군,223,1
원주 우편집중국,광주 북구,425,1
서울 강북구,경남 산청군,373,1
영암 우편집중국,전남 신안군,45,1
경기 연천군,경기 안산시 단원구,142,1
전북 순창군,전남 곡성군,79,1
중부권 광역우편물류센터,인천 강화군,274,1
중부권 광역우편물류센터,서울 강서구,258,1
전남 담양군,서울 중구,342,1
중부권 광역우편물류센터,경기 고양시 일산서구,268,1
청주 우편집중국,충북 청주시 청원구,30,1
중부권 광역우편물류센터,서울 양천구,258,1
안동 우편집중국,경북 봉화군,57,1
중부권 광역우편물류센터,경남 김해시,298,1
청주 우편집중국,충북 청주시 청원구,30,1
천안 우편집중국,강원 양구군,258,1
중부권 광역우편물류센터,부산 서구,308,1
진주 우편집중국,전북 남원시,142,1
중부권 광역우편물류센터,경북 군위군,207,1
전북 순창군,인천 중구,346,1
중부권 광역우편물류센터,부산 동래구,315,1
중부권 광역우편물류센터,경기 여주시,210,1
경기 고양시 일산동구,강원 철원군,119,1
충북 청주시 상당구,대구 서구,178,1
동서울 우편집중국,서울 서초구,79,1
대구 우편집중국,경북 경산시,54,1
중부권 광역우편물류센터,서울 강동구,225,1
청주 우편집중국,충북 괴산군,142,1
부천 우편집중국,인천 중구,66,1
광주 우편집중국,광주 북구,57,1
고양 우편집중국,서울 서대문구,42,1
중부권 광역우편물류센터,전북 군산시,162,1
성남 우편집중국,경기 안양시 동안구,56,1
순천 집중과,전남 고흥군,58,1
중부권 광역우편물류센터,대전 유성구,54,1
인천 계양구,강원 정선군,259,1
청주 우편집중국,충북 보은군,87,1
창원 우편집중국,경남 창원시 의창구,35,1
중부권 광역우편물류센터,전남 영광군,219,1
수원 우편집중국,경기 수원시 영통구,30,1
울산 우편집중국,울산 동구,30,1
대구 우편집중국,대구 수성구,50,1
진주 우편집중국,전북 군산시,306,1
중부권 광역우편물류센터,경기 용인시 처인구,208,1
대구 수성구,경기 가평군,374,1
인천 강화군,경기 수원시 영통구,125,1
강원 평창군,충남 보령시,322,1
강원 화천군,전남 진도군,529,1
중부권 광역우편물류센터,전남 강진군,310,1
충북 영동군,경북 문경시,137,1
원주 우편집중국,강원 태백시,227,1
성남 우편집중국,경기 광명시,60,1
중부권 광역우편물류센터,충남 당진시,165,1
서울 금천구,경남 창녕군,354,1
전남 목포시,경기 안양시 동안구,384,1
광주 우편집중국,전남 구례군,128,1
경남 창원시 마산회원구,경남 산청군,131,1
대전 우편집중국,충남 공주시,76,1
중부권 광역우편물류센터,서울 강동구,225,1
부천 우편집중국,인천 계양구,36,1
진주 우편집중국,전북 전주시 완산구,214,1
중부권 광역우편물류센터,서울 중랑구,242,1
경북 경주시,서울 동작구,363,1
경북 영주시,경남 밀양시,234,1
대구 달서구,경남 거창군,96,1
창원 우편집중국,경남 창원시 의창구,35,1
광주 우편집중국,광주 광산구,202,1
강릉 우편집중국,강원 속초시,97,1
인천 옹진군,대구 서구,347,1
중부권 광역우편물류센터,경기 수원시 팔달구,202,1
중부권 광역우편물류센터,대전 유성구,54,1
대전 우편집중국,충남 부여군,116,1
원주 우편집중국,경기 여주시,75,1
중부권 광역우편물류센터,경북 구미시,146,1
광주 북구,전남 강진군,200,1
부천 우편집중국,서울 강동구,89,1
수원 우편집중국,경기 평택시,105,1
전북 임실군,대구 북구,220,1
광주 우편집중국,충북 옥천군,218,1
대전 우편집중국,충남 공주시,76,1
중부권 광역우편물류센터,경북 상주시,165,1
전북 익산시,강원 양양군,442,1
성남 우편집중국,경기 성남시 분당구,39,1
충북 영동군,경남 함안군,209,1
경남 하동군,경기 광명시,402,1
진주 우편집중국,경남 거창군,124,1
경남 양산시,광주 북구,316,1
의정부 우편집중국,서울 도봉구,64,1
경남 창원시 진해구,충남 금산군,275,1
중부권 광역우편물류센터,경기 성남시 분당구,209,1
원주 우편집중국,강원 인제군,150,1
경북 울진군,강원 동해시,515,1
중부권 광역우편물류센터,경기 고양시 일산동구,268,1
충북 청주시 서원구,충남 당진시,161,1
순천 집중과,전북 정읍시,180,1
대전 우편집중국,충남 부여군,116,1
중부권 광역우편물류센터,충남 공주시,84,1
의정부 우편집중국,경기 의정부시,68,1
전북 고창군,경기 여주시,331,1
천안 우편집중국,충남 아산시,45,1
천안 우편집중국,충남 금산군,154,1
울산 동구,경북 칠곡군,194,1
원주 우편집중국,강원 양구군,108,1
창원 우편집중국,경남 창원시 마산합포구,30,1
충남 계룡시,경기 파주시,278,1
안동 우편집중국,경북 안동시,30,1
서울 중랑구,서울 강동구,48,1
전남 강진군,경남 창원시 진해구,299,1
광주 동구,서울 양천구,382,1
중부권 광역우편물류센터,충북 청주시 흥덕구,99,1
영암 우편집중국,전남 목포시,45,1
원주 우편집중국,강원 횡성군,54,1
중부권 광역우편물류센터,경기 안양시 만안구,228,1
충북 괴산군,서울 성동구,170,1
중부권 광역우편물류센터,인천 남동구,240,1
영암 우편집중국,전남 신안군,45,1
창원 우편집중국,경남 창원시 진해구,80,1
경기 포천시,서울 강서구,140,1
영암 우편집중국,전남 해남군,50,1
강원 정선군,전남 영암군,558,1
천안 우편집중국,전북 무주군,175,1
창원 우편집중국,충남 서산시,382,1
대전 우편집중국,대전 대덕구,66,1
영암 우편집중국,전남 곡성군,183,1
전북 김제시,충북 영동군,232,1
중부권 광역우편물류센터,서울 서초구,221,1
천안 우편집중국,충남 천안시 서북구,30,1
경기 양주시,전남 보성군,464,1
중부권 광역우편물류센터,광주 남구,287,1
청주 우편집중국,충북 충주시,44,1
천안 우편집중국,충남 태안군,128,1
성남 우편집중국,경북 봉화군,231,1
동서울 우편집중국,서울 강동구,54,1
강원 강릉시,대전 동구,360,1
중부권 광역우편물류센터,부산 수영구,315,1
고양 우편집중국,전북 진안군,323,1
안동 우편집중국,경북 영주시,57,1
진주 우편집중국,전북 순창군,169,1
대구 우편집중국,대구 남구,43,1
진주 우편집중국,전북 고창군,234,1
