택배번호,출발지,출발시간,거리,통행량,경유지1,하차시간,상차시간,거리,통행량,경유지2,하차시간,상차시간,거리,통행량,경유지3,하차시간,상차시간,거리,통행량,도착지,도착시간
002P10011,부산 동래구,2,60,1,부산 우편집중국,6,18,295,5,중부권 광역우편물류센터,38,62,199,9,광주 우편집중국,75,87,108,1,전남 함평군,0,0
002P10012,경기 파주시,2,48,1,고양 우편집중국,5,17,268,3,중부권 광역우편물류센터,35,59,261,5,의정부 우편집중국,76,88,53,1,경기 구리시,0,0
002P10013,서울 노원구,2,64,1,의정부 우편집중국,6,18,261,3,중부권 광역우편물류센터,35,59,295,3,부산 우편집중국,79,91,70,1,부산 서구,0,0
002P10014,전북 임실군,2,180,1,진주 우편집중국,14,26,202,10,중부권 광역우편물류센터,39,63,100,6,청주 우편집중국,70,82,71,4,충북 진천군,0,0
002P10015,전남 고흥군,2,58,1,순천 집중과,6,18,233,2,중부권 광역우편물류센터,34,58,216,4,안동 우편집중국,72,84,97,1,경북 상주시,0,0
002P10016,서울 성북구,2,36,1,동서울 우편집중국,4,16,248,2,중부권 광역우편물류센터,33,57,290,1,영암 우편집중국,76,88,45,1,전남 목포시,0,0
002P10017,서울 마포구,2,42,1,고양 우편집중국,5,17,268,3,중부권 광역우편물류센터,35,59,256,5,원주 우편집중국,76,88,108,1,강원 양구군,0,0
002P10018,충남 논산시,2,77,2,대전 우편집중국,7,19,53,4,중부권 광역우편물류센터,23,47,229,1,수원 우편집중국,62,74,110,1,경기 화성시,0,0
002P10019,충남 당진시,2,109,1,천안 우편집중국,9,21,133,3,중부권 광역우편물류센터,30,54,53,1,대전 우편집중국,58,70,30,1,충남 계룡시,0,0
002P10020,강원 삼척시,2,82,1,강릉 우편집중국,7,19,368,3,중부권 광역우편물류센터,44,89,202,15,진주 우편집중국,102,114,149,1,경남 합천군,0,0
002P10021,인천 계양구,2,36,1,부천 우편집중국,4,16,253,1,중부권 광역우편물류센터,33,57,202,3,진주 우편집중국,70,82,42,1,경남 사천시,0,0
002P10022,전남 함평군,2,108,1,광주 우편집중국,9,21,199,2,중부권 광역우편물류센터,34,58,218,5,성남 우편집중국,73,85,58,1,경기 용인시 수지구,0,0
002P10023,부산 금정구,2,60,1,부산 우편집중국,6,18,295,5,중부권 광역우편물류센터,38,62,218,16,성남 우편집중국,77,89,56,1,경기 안양시 동안구,0,0
002P10024,경북 경산시,2,54,1,대구 우편집중국,6,18,192,3,중부권 광역우편물류센터,31,55,218,2,성남 우편집중국,70,82,56,1,서울 관악구,0,0
002P10025,전남 나주시,2,140,2,광주 우편집중국,11,23,199,5,중부권 광역우편물류센터,36,60,248,7,동서울 우편집중국,77,89,84,1,서울 중구,0,0
002P10026,경기 안양시 만안구,2,56,1,성남 우편집중국,6,18,218,2,중부권 광역우편물류센터,33,57,199,2,광주 우편집중국,70,82,202,1,광주 광산구,0,0
003P10001,전남 강진군,3,50,1,영암 우편집중국,6,18,290,5,중부권 광역우편물류센터,37,61,53,7,대전 우편집중국,65,77,66,2,대전 대덕구,0,0
003P10002,서울 구로구,3,88,1,성남 우편집중국,9,21,218,10,중부권 광역우편물류센터,36,60,53,5,대전 우편집중국,64,76,66,1,대전 대덕구,0,0
003P10003,충남 논산시,3,77,3,대전 우편집중국,8,20,53,5,중부권 광역우편물류센터,24,48,253,1,부천 우편집중국,65,77,61,1,인천 미추홀구,0,0
003P10004,전남 진도군,3,30,1,영암 우편집중국,5,17,290,2,중부권 광역우편물류센터,36,60,53,5,대전 우편집중국,64,76,46,1,대전 유성구,0,0
003P10005,강원 강릉시,3,30,2,강릉 우편집중국,5,17,368,2,중부권 광역우편물류센터,42,89,253,13,부천 우편집중국,106,118,71,1,경기 안산시 상록구,0,0
003P10006,경기 하남시,3,51,1,동서울 우편집중국,6,18,248,3,중부권 광역우편물류센터,35,59,268,4,고양 우편집중국,77,89,42,2,서울 마포구,0,0
003P10007,전남 목포시,3,45,1,영암 우편집중국,6,18,290,5,중부권 광역우편물류센터,37,61,248,9,동서울 우편집중국,78,90,84,2,서울 중구,0,0
003P10008,전남 해남군,3,50,1,영암 우편집중국,6,18,290,5,중부권 광역우편물류센터,37,61,261,7,의정부 우편집중국,78,90,64,1,서울 노원구,0,0
003P10009,경기 광명시,3,60,2,성남 우편집중국,7,19,218,6,중부권 광역우편물류센터,34,58,248,5,동서울 우편집중국,75,87,58,2,서울 송파구,0,0
003P10010,강원 태백시,3,227,2,원주 우편집중국,18,30,256,24,중부권 광역우편물류센터,47,89,199,14,광주 우편집중국,102,114,202,2,광주 광산구,0,0
003P10011,인천 동구,3,74,1,부천 우편집중국,8,20,253,10,중부권 광역우편물류센터,37,61,256,7,원주 우편집중국,78,90,84,1,강원 평창군,0,0
