택배번호,출발지,출발시간,거리,통행량,경유지1,하차시간,상차시간,거리,통행량,경유지2,하차시간,상차시간,거리,통행량,경유지3,하차시간,상차시간,거리,통행량,도착지,도착시간
020P10029,전남 완도군,0,20,중부권 광역우편물류센터,36,91,전남 함평군,0,0,
020P10033,부산 중구,0,20,중부권 광역우편물류센터,35,91,경기 수원시 권선구,0,0,
020P10052,부산 기장군,0,20,중부권 광역우편물류센터,38,91,강원 정선군,0,0,
020P10053,강원 동해시,0,20,중부권 광역우편물류센터,40,91,강원 인제군,0,0,
020P10068,부산 연제구,0,20,중부권 광역우편물류센터,36,91,경북 영덕군,0,0,
020P10069,강원 춘천시,0,20,중부권 광역우편물류센터,36,91,경북 영주시,0,0,
020P10077,강원 태백시,0,20,중부권 광역우편물류센터,42,0,경기 용인시 처인구,0,0,
020P10086,강원 양양군,0,20,중부권 광역우편물류센터,40,91,전남 장흥군,0,0,
020P10090,부산 해운대구,0,20,중부권 광역우편물류센터,38,91,경남 하동군,0,0,
020P10130,경기 가평군,0,20,중부권 광역우편물류센터,37,91,강원 횡성군,0,0,
020P10132,울산 남구,0,20,중부권 광역우편물류센터,36,91,전북 순창군,0,0,
020P10141,부산 연제구,0,20,중부권 광역우편물류센터,36,91,부산 남구,0,0,
020P10145,울산 중구,0,20,중부권 광역우편물류센터,36,91,전남 진도군,0,0,
020P10148,부산 부산진구,0,20,중부권 광역우편물류센터,35,91,부산 사하구,0,0,
020P10156,강원 화천군,0,20,중부권 광역우편물류센터,36,91,서울 동작구,0,0,
020P10160,울산 북구,0,20,중부권 광역우편물류센터,36,91,부산 부산진구,0,0,
020P10162,울산 중구,0,20,중부권 광역우편물류센터,36,91,인천 남동구,0,0,
020P10170,울산 북구,0,20,중부권 광역우편물류센터,36,91,경기 시흥시,0,0,
020P10177,부산 동래구,0,20,중부권 광역우편물류센터,36,91,경북 청도군,0,0,
020P10181,부산 동구,0,20,중부권 광역우편물류센터,35,91,대구 달성군,0,0,
021P10003,부산 사상구,0,21,중부권 광역우편물류센터,36,91,전남 장흥군,0,0,
021P10015,강원 정선군,0,21,중부권 광역우편물류센터,37,91,인천 동구,0,0,
021P10023,경북 영천시,0,21,중부권 광역우편물류센터,35,91,강원 춘천시,0,0,
021P10024,울산 동구,0,21,중부권 광역우편물류센터,37,91,전남 영암군,0,0,
021P10027,부산 기장군,0,21,중부권 광역우편물류센터,39,91,서울 은평구,0,0,
021P10034,강원 삼척시,0,21,중부권 광역우편물류센터,42,0,서울 은평구,0,0,
021P10037,부산 수영구,0,21,중부권 광역우편물류센터,37,91,강원 양양군,0,0,
021P10041,울산 북구,0,21,중부권 광역우편물류센터,37,91,경기 수원시 권선구,0,0,
021P10043,전남 목포시,0,21,중부권 광역우편물류센터,35,91,경북 영주시,0,0,
021P10045,전남 영암군,0,21,중부권 광역우편물류센터,37,91,충남 보령시,0,0,
021P10083,경남 창원시 진해구,0,21,중부권 광역우편물류센터,36,91,경북 경주시,0,0,
021P10089,강원 태백시,0,21,중부권 광역우편물류센터,43,0,경기 군포시,0,0,
021P10096,경기 연천군,0,21,중부권 광역우편물류센터,35,91,부산 영도구,0,0,
