택배번호,출발지,출발시간,거리,통행량,경유지1,하차시간,상차시간,거리,통행량,경유지2,하차시간,상차시간,거리,통행량,경유지3,하차시간,상차시간,거리,통행량,도착지,도착시간
001P10029,부산 연제구,0,1,중부권 광역우편물류센터,17,29,대구 달서구,38,0,,부산 연제구,중부권 광역우편물류센터,315,2,중부권 광역우편물류센터,대구 달서구,189,9
001P10030,경기 화성시,0,1,중부권 광역우편물류센터,11,23,서울 성북구,35,0,,경기 화성시,중부권 광역우편물류센터,207,2,중부권 광역우편물류센터,서울 성북구,242,4
001P10031,전남 담양군,0,1,중부권 광역우편물류센터,11,23,충북 진천군,30,0,,전남 담양군,중부권 광역우편물류센터,207,1,중부권 광역우편물류센터,충북 진천군,140,1
001P10032,경기 광주시,0,1,중부권 광역우편물류센터,12,24,강원 삼척시,45,0,,경기 광주시,중부권 광역우편물류센터,215,2,중부권 광역우편물류센터,강원 삼척시,420,5
001P10033,경남 창원시 의창구,0,1,중부권 광역우편물류센터,14,26,광주 동구,37,0,,경남 창원시 의창구,중부권 광역우편물류센터,256,2,중부권 광역우편물류센터,광주 동구,215,6
001P10034,서울 관악구,0,1,중부권 광역우편물류센터,12,24,충남 태안군,32,0,,서울 관악구,중부권 광역우편물류센터,229,3,중부권 광역우편물류센터,충남 태안군,161,5
001P10035,전남 완도군,0,1,중부권 광역우편물류센터,17,29,서울 관악구,40,0,,전남 완도군,중부권 광역우편물류센터,310,3,중부권 광역우편물류센터,서울 관악구,229,3
001P10036,대구 수성구,0,1,중부권 광역우편물류센터,12,24,울산 북구,40,0,,대구 수성구,중부권 광역우편물류센터,212,2,중부권 광역우편물류센터,울산 북구,318,3
001P10037,경남 통영시,0,1,중부권 광역우편물류센터,13,25,경기 김포시,38,0,,경남 통영시,중부권 광역우편물류센터,242,1,중부권 광역우편물류센터,경기 김포시,262,2
001P10038,경북 포항시 북구,0,1,중부권 광역우편물류센터,15,27,강원 속초시,48,0,,경북 포항시 북구,중부권 광역우편물류센터,271,2,중부권 광역우편물류센터,강원 속초시,415,3
001P10039,광주 동구,0,1,중부권 광역우편물류센터,12,24,울산 동구,40,0,,광주 동구,중부권 광역우편물류센터,215,2,중부권 광역우편물류센터,울산 동구,318,1
001P10040,경남 사천시,0,1,중부권 광역우편물류센터,11,23,충북 옥천군,26,0,,경남 사천시,중부권 광역우편물류센터,197,4,중부권 광역우편물류센터,충북 옥천군,53,2
001P10041,전북 무주군,0,1,중부권 광역우편물류센터,5,17,충북 영동군,21,0,,전북 무주군,중부권 광역우편물류센터,71,1,중부권 광역우편물류센터,충북 영동군,83,1
001P10042,부산 사하구,0,1,중부권 광역우편물류센터,16,28,대전 중구,30,0,,부산 사하구,중부권 광역우편물류센터,308,3,중부권 광역우편물류센터,대전 중구,38,5
001P10043,충북 청주시 흥덕구,0,1,중부권 광역우편물류센터,6,18,경기 부천시,30,0,,충북 청주시 흥덕구,중부권 광역우편물류센터,99,1,중부권 광역우편물류센터,경기 부천시,247,1
001P10044,경기 안산시 상록구,0,1,중부권 광역우편물류센터,12,24,전남 고흥군,37,0,,경기 안산시 상록구,중부권 광역우편물류센터,212,1,중부권 광역우편물류센터,전남 고흥군,261,3
001P10045,서울 중랑구,0,1,중부권 광역우편물류센터,13,25,전북 남원시,34,0,,서울 중랑구,중부권 광역우편물류센터,242,1,중부권 광역우편물류센터,전북 남원시,176,5
001P10046,전북 고창군,0,1,중부권 광역우편물류센터,11,23,전남 신안군,37,0,,전북 고창군,중부권 광역우편물류센터,204,3,중부권 광역우편물류센터,전남 신안군,276,3
001P10047,충남 예산군,0,1,중부권 광역우편물류센터,7,19,인천 동구,32,0,,충남 예산군,중부권 광역우편물류센터,128,5,중부권 광역우편물류센터,인천 동구,253,1
001P10048,경북 상주시,0,1,중부권 광역우편물류센터,9,21,서울 성동구,32,0,,경북 상주시,중부권 광역우편물류센터,165,1,중부권 광역우편물류센터,서울 성동구,226,1
001P10049,전남 강진군,0,1,중부권 광역우편물류센터,17,29,인천 동구,42,0,,전남 강진군,중부권 광역우편물류센터,310,1,중부권 광역우편물류센터,인천 동구,253,5
001P10050,경기 남양주시,0,1,중부권 광역우편물류센터,13,25,경기 화성시,35,0,,경기 남양주시,중부권 광역우편물류센터,238,5,중부권 광역우편물류센터,경기 화성시,207,4
001P10051,경북 의성군,0,1,중부권 광역우편물류센터,12,24,서울 성북구,36,0,,경북 의성군,중부권 광역우편물류센터,214,4,중부권 광역우편물류센터,서울 성북구,242,6
001P10052,전남 영광군,0,1,중부권 광역우편물류센터,12,24,전북 군산시,32,0,,전남 영광군,중부권 광역우편물류센터,219,3,중부권 광역우편물류센터,전북 군산시,162,1
001P10053,경남 사천시,0,1,중부권 광역우편물류센터,11,23,경남 함안군,35,0,,경남 사천시,중부권 광역우편물류센터,197,4,중부권 광역우편물류센터,경남 함안군,232,4
001P10054,강원 인제군,0,1,중부권 광역우편물류센터,19,31,서울 중랑구,43,0,,강원 인제군,중부권 광역우편물류센터,359,3,중부권 광역우편물류센터,서울 중랑구,242,8
001P10055,강원 평창군,0,1,중부권 광역우편물류센터,15,27,경기 군포시,38,0,,강원 평창군,중부권 광역우편물류센터,287,2,중부권 광역우편물류센터,경기 군포시,228,3
001P10056,부산 중구,0,1,중부권 광역우편물류센터,16,28,경기 용인시 수지구,38,0,,부산 중구,중부권 광역우편물류센터,308,4,중부권 광역우편물류센터,경기 용인시 수지구,202,3
001P10057,서울 성북구,0,1,중부권 광역우편물류센터,13,25,부산 사하구,40,0,,서울 성북구,중부권 광역우편물류센터,242,2,중부권 광역우편물류센터,부산 사하구,308,2
001P10058,경남 하동군,0,1,중부권 광역우편물류센터,12,24,경남 양산시,39,0,,경남 하동군,중부권 광역우편물류센터,227,2,중부권 광역우편물류센터,경남 양산시,300,4
001P10059,경기 과천시,0,1,중부권 광역우편물류센터,12,24,전북 남원시,33,0,,경기 과천시,중부권 광역우편물류센터,220,2,중부권 광역우편물류센터,전북 남원시,176,2
001P10060,광주 북구,0,1,중부권 광역우편물류센터,12,24,서울 강남구,35,0,,광주 북구,중부권 광역우편물류센터,226,4,중부권 광역우편물류센터,서울 강남구,224,2
001P10061,부산 사하구,0,1,중부권 광역우편물류센터,16,28,대전 대덕구,30,0,,부산 사하구,중부권 광역우편물류센터,308,3,중부권 광역우편물류센터,대전 대덕구,47,4
001P10062,경북 문경시,0,1,중부권 광역우편물류센터,10,22,강원 고성군,43,0,,경북 문경시,중부권 광역우편물류센터,187,1,중부권 광역우편물류센터,강원 고성군,415,3
001P10063,강원 강릉시,0,1,중부권 광역우편물류센터,19,31,대전 중구,33,0,,강원 강릉시,중부권 광역우편물류센터,368,4,중부권 광역우편물류센터,대전 중구,38,7
001P10064,경기 동두천시,0,1,중부권 광역우편물류센터,15,27,경기 평택시,35,0,,경기 동두천시,중부권 광역우편물류센터,276,2,중부권 광역우편물류센터,경기 평택시,154,6
001P10065,대구 동구,0,1,중부권 광역우편물류센터,12,24,경남 창원시 성산구,38,0,,대구 동구,중부권 광역우편물류센터,212,1,중부권 광역우편물류센터,경남 창원시 성산구,290,3
001P10066,강원 양구군,0,1,중부권 광역우편물류센터,17,29,인천 연수구,41,0,,강원 양구군,중부권 광역우편물류센터,317,4,중부권 광역우편물류센터,인천 연수구,248,6
001P10067,전북 남원시,0,1,중부권 광역우편물류센터,10,22,울산 북구,38,0,,전북 남원시,중부권 광역우편물류센터,176,3,중부권 광역우편물류센터,울산 북구,318,1
001P10068,경남 창원시 진해구,0,1,중부권 광역우편물류센터,16,28,경기 성남시 분당구,38,0,,경남 창원시 진해구,중부권 광역우편물류센터,295,2,중부권 광역우편물류센터,경기 성남시 분당구,209,5
001P10069,전북 남원시,0,1,중부권 광역우편물류센터,10,22,부산 남구,37,0,,전북 남원시,중부권 광역우편물류센터,176,3,중부권 광역우편물류센터,부산 남구,300,1
001P10070,충북 괴산군,0,1,중부권 광역우편물류센터,12,24,부산 남구,39,0,,충북 괴산군,중부권 광역우편물류센터,211,1,중부권 광역우편물류센터,부산 남구,300,3
001P10071,경기 수원시 팔달구,0,1,중부권 광역우편물류센터,11,23,부산 동래구,39,0,,경기 수원시 팔달구,중부권 광역우편물류센터,202,1,중부권 광역우편물류센터,부산 동래구,315,4
001P10072,강원 태백시,0,1,중부권 광역우편물류센터,23,44,대전 유성구,47,0,,강원 태백시,중부권 광역우편물류센터,430,4,중부권 광역우편물류센터,대전 유성구,54,17
001P10073,경남 산청군,0,1,중부권 광역우편물류센터,9,21,서울 성북구,33,0,,경남 산청군,중부권 광역우편물류센터,150,1,중부권 광역우편물류센터,서울 성북구,242,2
001P10074,부산 강서구,0,1,중부권 광역우편물류센터,16,28,경기 성남시 중원구,39,0,,부산 강서구,중부권 광역우편물류센터,299,2,중부권 광역우편물류센터,경기 성남시 중원구,215,3
001P10075,경기 구리시,0,1,중부권 광역우편물류센터,13,25,인천 연수구,37,0,,경기 구리시,중부권 광역우편물류센터,238,2,중부권 광역우편물류센터,인천 연수구,248,4
001P10076,경기 가평군,0,1,중부권 광역우편물류센터,18,30,충북 청주시 청원구,35,0,,경기 가평군,중부권 광역우편물류센터,333,3,중부권 광역우편물류센터,충북 청주시 청원구,100,8
001P10077,인천 강화군,0,1,중부권 광역우편물류센터,15,27,전남 함평군,39,0,,인천 강화군,중부권 광역우편물류센터,274,1,중부권 광역우편물류센터,전남 함평군,244,5
001P10078,전남 구례군,0,1,중부권 광역우편물류센터,11,23,부산 금정구,39,0,,전남 구례군,중부권 광역우편물류센터,196,1,중부권 광역우편물류센터,부산 금정구,315,2
001P10079,경남 함양군,0,1,중부권 광역우편물류센터,8,20,경기 양주시,33,0,,경남 함양군,중부권 광역우편물류센터,136,2,중부권 광역우편물류센터,경기 양주시,269,2
001P10080,충남 부여군,0,1,중부권 광역우편물류센터,7,19,부산 강서구,34,0,,충남 부여군,중부권 광역우편물류센터,124,1,중부권 광역우편물류센터,부산 강서구,299,2
001P10081,인천 부평구,0,1,중부권 광역우편물류센터,14,26,서울 마포구,40,0,,인천 부평구,중부권 광역우편물류센터,255,1,중부권 광역우편물류센터,서울 마포구,279,6
001P10082,울산 중구,0,1,중부권 광역우편물류센터,17,29,대전 서구,32,0,,울산 중구,중부권 광역우편물류센터,318,2,중부권 광역우편물류센터,대전 서구,54,8
001P10083,경남 고성군,0,1,중부권 광역우편물류센터,12,24,경남 김해시,39,0,,경남 고성군,중부권 광역우편물류센터,223,3,중부권 광역우편물류센터,경남 김해시,298,6
001P10084,서울 용산구,0,1,중부권 광역우편물류센터,12,24,경북 영주시,36,0,,서울 용산구,중부권 광역우편물류센터,226,1,중부권 광역우편물류센터,경북 영주시,242,1
001P10085,대구 달서구,0,1,중부권 광역우편물류센터,10,22,경남 함안군,34,0,,대구 달서구,중부권 광역우편물류센터,189,1,중부권 광역우편물류센터,경남 함안군,232,3
001P10086,경남 고성군,0,1,중부권 광역우편물류센터,12,24,충남 홍성군,33,0,,경남 고성군,중부권 광역우편물류센터,223,3,중부권 광역우편물류센터,충남 홍성군,187,3
001P10087,서울 양천구,0,1,중부권 광역우편물류센터,14,26,대구 동구,37,0,,서울 양천구,중부권 광역우편물류센터,258,1,중부권 광역우편물류센터,대구 동구,212,4
001P10088,경기 용인시 수지구,0,1,중부권 광역우편물류센터,11,23,충북 청주시 청원구,28,0,,경기 용인시 수지구,중부권 광역우편물류센터,202,1,중부권 광역우편물류센터,충북 청주시 청원구,100,1
001P10089,전남 영광군,0,1,중부권 광역우편물류센터,12,24,전남 무안군,37,0,,전남 영광군,중부권 광역우편물류센터,219,3,중부권 광역우편물류센터,전남 무안군,257,1
001P10090,부산 중구,0,1,중부권 광역우편물류센터,16,28,서울 용산구,39,0,,부산 중구,중부권 광역우편물류센터,308,4,중부권 광역우편물류센터,서울 용산구,226,5
001P10091,부산 연제구,0,1,중부권 광역우편물류센터,17,29,충북 영동군,33,0,,부산 연제구,중부권 광역우편물류센터,315,2,중부권 광역우편물류센터,충북 영동군,83,2
001P10092,경기 의왕시,0,1,중부권 광역우편물류센터,11,23,경북 청도군,35,0,,경기 의왕시,중부권 광역우편물류센터,210,2,중부권 광역우편물류센터,경북 청도군,241,2
