택배번호,출발지,출발시간,거리,통행량,경유지1,하차시간,상차시간,거리,통행량,경유지2,하차시간,상차시간,거리,통행량,경유지3,하차시간,상차시간,거리,통행량,도착지,도착시간
001P10001,경기 안산시 단원구,1,68,1,부천 우편집중국,6,18,253,34,중부권 광역우편물류센터,35,0,100,0,청주 우편집중국,0,0,58,0,충북 증평군,0
001P10002,광주 광산구,1,202,2,광주 우편집중국,14,26,199,77,중부권 광역우편물류센터,39,0,248,0,동서울 우편집중국,0,0,30,0,서울 광진구,0
001P10003,부산 영도구,1,70,2,부산 우편집중국,6,18,295,36,중부권 광역우편물류센터,38,0,318,0,울산 우편집중국,0,0,30,0,울산 북구,0
001P10004,울산 동구,1,30,2,울산 우편집중국,3,15,318,5,중부권 광역우편물류센터,36,0,268,0,고양 우편집중국,0,0,30,0,경기 고양시 일산서구,0
001P10005,서울 중구,1,84,1,동서울 우편집중국,7,19,248,28,중부권 광역우편물류센터,36,0,295,0,부산 우편집중국,0,0,152,0,부산 해운대구,0
001P10006,경기 용인시 수지구,1,58,2,성남 우편집중국,5,17,218,14,중부권 광역우편물류센터,32,78,216,8,안동 우편집중국,92,0,119,0,경북 문경시,0
001P10007,서울 성북구,1,36,1,동서울 우편집중국,3,15,248,1,중부권 광역우편물류센터,32,78,318,4,울산 우편집중국,99,0,94,0,경남 양산시,0
001P10008,경기 수원시 영통구,1,30,1,수원 우편집중국,3,15,229,1,중부권 광역우편물류센터,30,54,256,14,원주 우편집중국,71,0,108,0,강원 양구군,0
001P10009,충북 증평군,1,58,1,청주 우편집중국,5,17,100,12,중부권 광역우편물류센터,24,48,192,2,대구 우편집중국,61,73,79,1,경북 청도군,78
001P10010,경북 구미시,1,76,1,대구 우편집중국,6,18,192,19,중부권 광역우편물류센터,31,78,202,11,진주 우편집중국,91,0,73,0,경남 하동군,0
001P10011,인천 중구,1,66,2,부천 우편집중국,5,17,253,22,중부권 광역우편물류센터,34,0,202,0,진주 우편집중국,0,0,306,0,전북 군산시,0
001P10012,전남 구례군,1,128,2,광주 우편집중국,10,22,199,25,중부권 광역우편물류센터,35,0,202,0,진주 우편집중국,0,0,133,0,전북 장수군,0
001P10013,경북 경산시,1,54,2,대구 우편집중국,5,17,192,13,중부권 광역우편물류센터,30,54,368,9,강릉 우편집중국,79,0,68,0,강원 양양군,0
001P10014,대전 동구,1,57,1,대전 우편집중국,5,17,53,11,중부권 광역우편물류센터,21,45,233,1,순천 집중과,61,0,58,0,전남 고흥군,0
001P10015,부산 영도구,1,70,2,부산 우편집중국,6,18,295,36,중부권 광역우편물류센터,38,0,318,0,울산 우편집중국,0,0,35,0,울산 울주군,0
001P10016,경남 창원시 마산합포구,1,30,4,창원 우편집중국,3,15,251,5,중부권 광역우편물류센터,32,78,100,9,청주 우편집중국,85,0,30,0,충북 청주시 청원구,0
001P10017,경기 여주시,1,75,2,원주 우편집중국,6,18,256,11,중부권 광역우편물류센터,35,0,256,0,원주 우편집중국,0,0,81,0,강원 홍천군,0
001P10018,전북 무주군,1,175,1,천안 우편집중국,13,25,133,46,중부권 광역우편물류센터,34,0,253,0,부천 우편집중국,0,0,66,0,인천 옹진군,0
001P10019,부산 강서구,1,34,1,부산 우편집중국,3,15,295,3,중부권 광역우편물류센터,35,0,100,0,청주 우편집중국,0,0,142,0,충북 괴산군,0
001P10020,인천 연수구,1,70,1,부천 우편집중국,6,18,253,34,중부권 광역우편물류센터,35,0,192,0,대구 우편집중국,0,0,80,0,경북 고령군,0
001P10021,전북 순창군,1,169,1,진주 우편집중국,12,24,202,48,중부권 광역우편물류센터,37,0,271,0,포항 우편집중국,0,0,226,0,경북 경주시,0
001P10022,경남 남해군,1,73,1,진주 우편집중국,6,18,202,12,중부권 광역우편물류센터,31,78,202,11,진주 우편집중국,91,0,82,0,경남 산청군,0
001P10023,강원 홍천군,1,81,1,원주 우편집중국,6,18,256,11,중부권 광역우편물류센터,35,0,199,0,광주 우편집중국,0,0,57,0,광주 북구,0
001P10024,경기 고양시 일산동구,1,30,1,고양 우편집중국,3,15,268,2,중부권 광역우편물류센터,33,78,253,8,부천 우편집중국,95,0,36,0,서울 영등포구,0
001P10025,전북 군산시,1,307,3,진주 우편집중국,21,63,202,75,중부권 광역우편물류센터,76,0,256,0,원주 우편집중국,0,0,98,0,충북 단양군,0
001P10026,서울 관악구,1,56,2,성남 우편집중국,5,17,218,14,중부권 광역우편물류센터,32,78,368,8,강릉 우편집중국,0,0,30,0,강원 강릉시,0
001P10027,전북 진안군,1,150,2,진주 우편집중국,11,23,202,39,중부권 광역우편물류센터,36,0,295,0,부산 우편집중국,0,0,70,0,부산 부산진구,0
