택배번호,출발지,출발시간,거리,통행량,경유지1,하차시간,상차시간,거리,통행량,경유지2,하차시간,상차시간,거리,통행량,경유지3,하차시간,상차시간,거리,통행량,도착지,도착시간
001P10001,경기 부천시,1,36,1,부천 우편집중국,3,15,253,1,중부권 광역우편물류센터,32,56,295,2,부산 우편집중국,76,88,152,1,부산 해운대구,98
001P10002,경기 용인시 기흥구,1,58,2,성남 우편집중국,5,17,218,4,중부권 광역우편물류센터,32,56,271,3,포항 우편집중국,74,86,30,1,경북 포항시 북구,88
001P10003,경남 양산시,1,94,1,울산 우편집중국,7,19,318,3,중부권 광역우편물류센터,40,64,100,11,청주 우편집중국,71,83,97,3,충북 음성군,89
001P10004,충남 공주시,1,76,1,대전 우편집중국,6,18,53,4,중부권 광역우편물류센터,22,46,368,1,강릉 우편집중국,71,83,82,1,강원 삼척시,88
001P10005,대전 중구,1,57,1,대전 우편집중국,5,17,53,1,중부권 광역우편물류센터,21,45,248,1,동서울 우편집중국,62,74,36,1,서울 성북구,76
001P10006,경기 이천시,1,94,1,성남 우편집중국,7,19,218,9,중부권 광역우편물류센터,34,58,248,6,동서울 우편집중국,75,87,213,1,경기 가평군,101
001P10007,강원 양구군,1,108,1,원주 우편집중국,8,20,256,3,중부권 광역우편물류센터,37,61,53,7,대전 우편집중국,65,77,57,3,대전 동구,81
001P10008,경기 안양시 동안구,1,56,1,성남 우편집중국,5,17,218,4,중부권 광역우편물류센터,32,56,53,1,대전 우편집중국,60,72,57,1,대전 동구,76
001P10009,서울 성북구,1,36,1,동서울 우편집중국,3,15,248,1,중부권 광역우편물류센터,32,56,368,3,강릉 우편집중국,81,93,97,1,강원 속초시,99
001P10010,경기 연천군,1,55,1,의정부 우편집중국,5,17,261,1,중부권 광역우편물류센터,34,58,199,3,광주 우편집중국,71,83,82,1,전남 영광군,88
001P10011,서울 성동구,1,84,1,동서울 우편집중국,7,19,248,4,중부권 광역우편물류센터,36,60,253,7,부천 우편집중국,77,89,36,2,인천 부평구,91
001P10012,경기 수원시 팔달구,1,69,1,수원 우편집중국,6,18,229,1,중부권 광역우편물류센터,33,57,202,6,진주 우편집중국,70,82,190,2,전북 전주시 덕진구,95
001P10013,경기 용인시 기흥구,1,58,2,성남 우편집중국,5,17,218,4,중부권 광역우편물류센터,32,56,192,3,대구 우편집중국,69,81,50,1,대구 동구,84
001P10014,경북 포항시 남구,1,30,1,포항 우편집중국,3,15,271,1,중부권 광역우편물류센터,33,57,192,6,대구 우편집중국,70,82,50,2,대구 수성구,85
001P10015,부산 수영구,1,60,1,부산 우편집중국,5,17,295,3,중부권 광역우편물류센터,37,61,248,14,동서울 우편집중국,78,90,30,2,서울 광진구,92
001P10016,서울 관악구,1,56,1,성남 우편집중국,5,17,218,4,중부권 광역우편물류센터,32,56,133,3,천안 우편집중국,65,77,30,1,충남 천안시 서북구,79
001P10017,서울 중구,1,84,1,동서울 우편집중국,7,19,248,4,중부권 광역우편물류센터,36,60,192,11,대구 우편집중국,73,85,54,1,대구 달성군,89
001P10018,충북 청주시 상당구,1,65,1,청주 우편집중국,5,17,100,2,중부권 광역우편물류센터,24,48,100,1,청주 우편집중국,55,67,87,1,충북 보은군,73
001P10019,서울 마포구,1,42,1,고양 우편집중국,4,16,268,1,중부권 광역우편물류센터,34,58,53,2,대전 우편집중국,62,74,156,2,충남 서천군,84
001P10020,강원 삼척시,1,82,1,강릉 우편집중국,6,18,368,1,중부권 광역우편물류센터,43,88,192,8,대구 우편집중국,101,113,54,4,경북 경산시,117
001P10021,충남 서천군,1,156,1,대전 우편집중국,11,23,53,5,중부권 광역우편물류센터,27,51,251,1,창원 우편집중국,68,80,35,1,경남 창원시 의창구,82
001P10022,경남 창원시 마산회원구,1,30,1,창원 우편집중국,3,15,251,1,중부권 광역우편물류센터,32,56,253,3,부천 우편집중국,73,85,36,1,인천 부평구,87
001P10023,경기 안산시 단원구,1,68,1,부천 우편집중국,6,18,253,6,중부권 광역우편물류센터,35,59,251,3,창원 우편집중국,76,88,75,1,경남 창원시 성산구,93
001P10024,인천 동구,1,74,1,부천 우편집중국,6,18,253,6,중부권 광역우편물류센터,35,59,202,6,진주 우편집중국,72,84,142,1,전북 남원시,93
001P10025,충남 아산시,1,45,1,천안 우편집중국,4,16,133,3,중부권 광역우편물류센터,25,49,253,1,부천 우편집중국,66,78,66,1,인천 중구,82
001P10026,경북 성주군,1,88,1,대구 우편집중국,7,19,192,4,중부권 광역우편물류센터,32,56,216,4,안동 우편집중국,70,82,70,1,경북 의성군,87
001P10027,부산 영도구,1,70,1,부산 우편집중국,6,18,295,4,중부권 광역우편물류센터,38,62,256,9,원주 우편집중국,79,91,98,1,충북 단양군,98
001P10028,전남 담양군,1,70,1,광주 우편집중국,6,18,199,1,중부권 광역우편물류센터,31,55,202,5,진주 우편집중국,68,80,190,1,전북 전주시 덕진구,93
002P10001,서울 강북구,2,64,1,의정부 우편집중국,6,18,261,3,중부권 광역우편물류센터,35,59,248,8,동서울 우편집중국,76,88,82,1,서울 강남구,93
002P10002,대전 대덕구,2,66,1,대전 우편집중국,6,18,53,4,중부권 광역우편물류센터,22,46,229,1,수원 우편집중국,61,73,86,1,경기 오산시,79
002P10003,경기 가평군,2,213,2,동서울 우편집중국,16,28,248,24,중부권 광역우편물류센터,45,88,202,24,진주 우편집중국,101,113,142,3,전북 남원시,122
002P10004,경기 용인시 수지구,2,58,1,성남 우편집중국,6,18,218,8,중부권 광역우편물류센터,33,57,271,4,포항 우편집중국,75,87,30,2,경북 포항시 북구,89
002P10005,강원 원주시,2,30,1,원주 우편집중국,4,16,256,1,중부권 광역우편물류센터,33,57,290,2,영암 우편집중국,76,88,45,1,전남 목포시,91
002P10006,부산 중구,2,70,1,부산 우편집중국,7,19,295,7,중부권 광역우편물류센터,39,63,199,5,광주 우편집중국,76,88,82,3,전남 영광군,93
002P10007,경기 화성시,2,110,1,수원 우편집중국,9,21,229,2,중부권 광역우편물류센터,36,60,256,7,원주 우편집중국,77,89,62,1,강원 영월군,93
002P10008,서울 관악구,2,56,3,성남 우편집중국,6,18,218,8,중부권 광역우편물류센터,33,57,229,2,수원 우편집중국,72,84,114,1,경기 안성시,92
002P10009,경남 사천시,2,42,1,진주 우편집중국,5,17,202,2,중부권 광역우편물류센터,30,54,256,2,원주 우편집중국,71,83,150,1,강원 인제군,93
002P10010,서울 도봉구,2,64,1,의정부 우편집중국,6,18,261,3,중부권 광역우편물류센터,35,59,100,2,청주 우편집중국,66,78,30,1,충북 청주시 청원구,80
002P10011,경북 경주시,2,226,1,포항 우편집중국,17,29,271,8,중부권 광역우편물류센터,47,88,248,12,동서울 우편집중국,105,117,36,3,서울 성북구,119
002P10012,전남 광양시,2,47,1,순천 집중과,5,17,233,1,중부권 광역우편물류센터,33,57,248,5,동서울 우편집중국,74,86,84,1,서울 중구,92
002P10013,부산 해운대구,2,152,2,부산 우편집중국,12,24,295,14,중부권 광역우편물류센터,44,88,202,24,진주 우편집중국,101,113,73,1,경남 남해군,118
002P10014,부산 영도구,2,70,2,부산 우편집중국,7,19,295,7,중부권 광역우편물류센터,39,63,192,19,대구 우편집중국,76,88,106,1,경북 김천시,95
002P10015,충남 천안시 서북구,2,30,1,천안 우편집중국,4,16,133,3,중부권 광역우편물류센터,25,49,368,2,강릉 우편집중국,74,86,97,1,강원 고성군,92
002P10016,충남 천안시 동남구,2,30,1,천안 우편집중국,4,16,133,3,중부권 광역우편물류센터,25,49,268,2,고양 우편집중국,67,79,39,1,서울 은평구,82
002P10017,충남 청양군,2,102,1,대전 우편집중국,9,21,53,4,중부권 광역우편물류센터,25,49,268,2,고양 우편집중국,67,79,36,1,경기 김포시,81
002P10018,경기 파주시,2,48,1,고양 우편집중국,5,17,268,3,중부권 광역우편물류센터,35,59,192,10,대구 우편집중국,72,84,50,3,대구 수성구,87
002P10019,경기 가평군,2,213,2,동서울 우편집중국,16,28,248,24,중부권 광역우편물류센터,45,88,202,24,진주 우편집중국,101,113,200,3,전북 익산시,126
002P10020,경남 진주시,2,34,1,진주 우편집중국,4,16,202,1,중부권 광역우편물류센터,29,53,216,3,안동 우편집중국,67,79,30,1,경북 안동시,81
002P10021,전북 전주시 완산구,2,214,1,진주 우편집중국,16,28,202,15,중부권 광역우편물류센터,41,88,295,15,부산 우편집중국,108,120,70,3,부산 사하구,125
002P10022,부산 해운대구,2,152,2,부산 우편집중국,12,24,295,14,중부권 광역우편물류센터,44,88,202,24,진주 우편집중국,101,113,189,2,전북 완주군,126
002P10023,서울 관악구,2,56,3,성남 우편집중국,6,18,218,8,중부권 광역우편물류센터,33,57,192,6,대구 우편집중국,70,82,54,1,경북 경산시,86
002P10024,경기 양평군,2,144,1,동서울 우편집중국,12,24,248,17,중부권 광역우편물류센터,41,88,199,8,광주 우편집중국,101,113,92,2,전남 곡성군,119
002P10025,경북 의성군,2,70,1,안동 우편집중국,7,19,216,2,중부권 광역우편물류센터,33,57,192,6,대구 우편집중국,70,82,30,1,대구 북구,84
