택배번호,출발지,출발시간,거리,통행량,경유지1,하차시간,상차시간,거리,통행량,경유지2,하차시간,상차시간,거리,통행량,경유지3,하차시간,상차시간,거리,통행량,도착지,도착시간
002P10004,경북 경주시,2,226,1,포항 우편집중국,17,29,271,9,중부권 광역우편물류센터,47,111,256,2,원주 우편집중국,128,140,124,4,강원 정선군,148
002P10005,대구 달서구,2,48,1,대구 우편집중국,5,17,192,2,중부권 광역우편물류센터,30,54,295,1,부산 우편집중국,74,86,70,1,부산 중구,91
002P10006,강원 인제군,2,150,1,원주 우편집중국,12,24,256,16,중부권 광역우편물류센터,41,87,100,10,청주 우편집중국,94,106,44,1,충북 충주시,109
002P10007,충북 음성군,2,97,1,청주 우편집중국,8,20,100,7,중부권 광역우편물류센터,27,51,192,1,대구 우편집중국,64,76,50,1,대구 동구,79
002P10008,경남 밀양시,2,74,1,부산 우편집중국,7,19,295,10,중부권 광역우편물류센터,39,63,248,15,동서울 우편집중국,80,92,84,2,서울 성동구,98
002P10009,전북 익산시,2,200,1,진주 우편집중국,15,27,202,12,중부권 광역우편물류센터,40,87,295,15,부산 우편집중국,107,119,70,3,부산 서구,124
002P10010,충북 단양군,2,98,1,원주 우편집중국,9,21,256,11,중부권 광역우편물류센터,38,62,216,9,안동 우편집중국,76,88,44,1,경북 예천군,91
002P10011,경남 양산시,2,94,2,울산 우편집중국,8,20,318,4,중부권 광역우편물류센터,41,87,295,15,부산 우편집중국,107,119,70,3,부산 부산진구,124
002P10012,서울 양천구,2,36,2,부천 우편집중국,4,16,253,3,중부권 광역우편물류센터,33,57,202,8,진주 우편집중국,70,82,189,1,전북 완주군,95
002P10013,서울 중랑구,2,48,2,의정부 우편집중국,5,17,261,3,중부권 광역우편물류센터,34,58,216,6,안동 우편집중국,72,84,70,1,경북 의성군,89
002P10014,서울 구로구,2,88,2,성남 우편집중국,8,20,218,9,중부권 광역우편물류센터,35,59,133,3,천안 우편집중국,68,80,30,1,충남 천안시 동남구,82
002P10015,전남 영광군,2,82,1,광주 우편집중국,7,19,199,2,중부권 광역우편물류센터,32,56,199,2,광주 우편집중국,69,81,108,1,전남 함평군,88
002P10016,충북 보은군,2,87,2,청주 우편집중국,8,20,100,7,중부권 광역우편물류센터,27,51,202,4,진주 우편집중국,64,76,73,1,경남 남해군,81
002P10017,경기 안양시 동안구,2,56,1,성남 우편집중국,6,18,218,3,중부권 광역우편물류센터,33,57,253,9,부천 우편집중국,74,86,36,2,서울 영등포구,88
002P10018,경기 시흥시,2,53,4,부천 우편집중국,6,18,253,9,중부권 광역우편물류센터,35,59,133,3,천안 우편집중국,68,80,109,1,충남 당진시,87
002P10019,부산 강서구,2,34,1,부산 우편집중국,4,16,295,1,중부권 광역우편물류센터,36,60,202,14,진주 우편집중국,73,85,102,2,경남 함양군,92
002P10020,부산 사하구,2,70,1,부산 우편집중국,7,19,295,10,중부권 광역우편물류센터,39,63,268,11,고양 우편집중국,81,93,39,2,서울 은평구,96
002P10021,울산 중구,2,30,1,울산 우편집중국,4,16,318,1,중부권 광역우편물류센터,37,61,295,8,부산 우편집중국,81,93,70,2,부산 부산진구,98
002P10022,경기 시흥시,2,53,4,부천 우편집중국,6,18,253,9,중부권 광역우편물류센터,35,59,133,3,천안 우편집중국,68,80,128,1,충남 서산시,89
002P10023,서울 양천구,2,36,2,부천 우편집중국,4,16,253,3,중부권 광역우편물류센터,33,57,199,3,광주 우편집중국,70,82,70,1,전남 담양군,87
002P10024,경북 청도군,2,79,1,대구 우편집중국,7,19,192,7,중부권 광역우편물류센터,32,56,192,4,대구 우편집중국,69,81,48,1,대구 달서구,84
002P10025,충북 청주시 상당구,2,65,2,청주 우편집중국,6,18,100,2,중부권 광역우편물류센터,25,49,218,1,성남 우편집중국,64,76,43,1,경기 성남시 중원구,79
002P10026,부산 연제구,2,60,1,부산 우편집중국,6,18,295,6,중부권 광역우편물류센터,38,62,248,13,동서울 우편집중국,79,91,144,3,경기 양평군,101
002P10027,서울 강남구,2,82,1,동서울 우편집중국,7,19,248,3,중부권 광역우편물류센터,36,60,271,3,포항 우편집중국,78,90,30,2,경북 포항시 북구,92
002P10028,경기 용인시 처인구,2,64,1,성남 우편집중국,6,18,218,3,중부권 광역우편물류센터,33,57,295,3,부산 우편집중국,77,89,60,1,부산 동래구,93
002P10029,경남 창원시 마산합포구,2,30,1,창원 우편집중국,4,16,251,1,중부권 광역우편물류센터,33,57,290,4,영암 우편집중국,76,88,30,1,전남 진도군,90
002P10030,경기 화성시,2,110,1,수원 우편집중국,9,21,229,3,중부권 광역우편물류센터,36,60,199,7,광주 우편집중국,73,85,57,1,광주 북구,89
002P10031,서울 구로구,2,88,2,성남 우편집중국,8,20,218,9,중부권 광역우편물류센터,35,59,192,11,대구 우편집중국,72,84,88,2,경북 성주군,90
002P10032,경기 평택시,2,105,1,수원 우편집중국,9,21,229,3,중부권 광역우편물류센터,36,60,100,6,청주 우편집중국,67,79,71,2,충북 진천군,84
002P10033,경기 의정부시,2,68,1,의정부 우편집중국,7,19,261,7,중부권 광역우편물류센터,36,60,202,14,진주 우편집중국,73,85,73,1,경남 하동군,90
002P10034,강원 횡성군,2,54,1,원주 우편집중국,6,18,256,5,중부권 광역우편물류센터,35,59,253,13,부천 우편집중국,76,88,61,4,인천 미추홀구,92
002P10035,강원 영월군,2,62,1,원주 우편집중국,6,18,256,5,중부권 광역우편물류센터,35,59,192,11,대구 우편집중국,72,84,43,1,대구 서구,87
002P10036,부산 중구,2,70,2,부산 우편집중국,7,19,295,10,중부권 광역우편물류센터,39,63,290,9,영암 우편집중국,82,94,50,1,전남 강진군,97
002P10037,전남 영암군,2,50,1,영암 우편집중국,5,17,290,3,중부권 광역우편물류센터,36,60,192,13,대구 우편집중국,73,85,106,1,경북 김천시,92
002P10038,서울 중랑구,2,48,2,의정부 우편집중국,5,17,261,3,중부권 광역우편물류센터,34,58,100,2,청주 우편집중국,65,77,30,1,충북 청주시 서원구,79
002P10039,서울 강북구,2,64,2,의정부 우편집중국,6,18,261,5,중부권 광역우편물류센터,35,59,229,5,수원 우편집중국,74,86,77,1,경기 수원시 장안구,91
003P10001,대전 서구,3,46,2,대전 우편집중국,6,18,53,3,중부권 광역우편물류센터,22,46,229,1,수원 우편집중국,61,73,114,1,경기 안성시,81
003P10002,부산 해운대구,3,152,1,부산 우편집중국,13,25,295,18,중부권 광역우편물류센터,45,87,253,12,부천 우편집중국,104,116,36,4,서울 영등포구,118
003P10003,경남 의령군,3,53,1,진주 우편집중국,7,19,202,3,중부권 광역우편물류센터,32,56,256,4,원주 우편집중국,73,85,54,1,강원 횡성군,89
