택배번호,출발지,출발시간,경유지1,하차시간,상차시간,거리,통행량,경유지2,하차시간,상차시간,거리,통행량,경유지3,하차시간,상차시간,거리,통행량,도착지,도착시간,거리,통행량
002P10017,경남 하동군,2,진주 우편집중국,0,0,6,1,중부권 광역우편물류센터,0,0,0,0,동서울 우편집중국,0,20,0,0,서울 용산구,0,83.6,0
002P10018,경기 가평군,2,동서울 우편집중국,0,0,14,1,중부권 광역우편물류센터,0,0,0,0,부천 우편집중국,0,28,0,0,서울 영등포구,0,35.5,0
002P10019,대전 중구,2,대전 우편집중국,0,0,5,1,중부권 광역우편물류센터,0,0,0,0,진주 우편집중국,0,19,0,0,전북 김제시,0,284.1,0
002P10020,서울 광진구,2,동서울 우편집중국,0,0,2,1,중부권 광역우편물류센터,0,0,0,0,진주 우편집중국,0,16,0,0,전북 정읍시,0,243.60000000000002,0
002P10021,강원 양구군,2,원주 우편집중국,0,0,8,1,중부권 광역우편물류센터,0,0,0,0,진주 우편집중국,0,22,0,0,전북 전주시 덕진구,0,190.4,0
002P10022,경기 평택시,2,수원 우편집중국,0,0,12,1,중부권 광역우편물류센터,0,0,0,0,의정부 우편집중국,0,26,0,0,강원 철원군,0,55.2,0
002P10023,부산 남구,2,부산 우편집중국,0,0,4,1,중부권 광역우편물류센터,0,0,0,0,울산 우편집중국,0,18,0,0,울산 동구,0,30.0,0
002P10024,경기 시흥시,2,부천 우편집중국,0,0,6,2,중부권 광역우편물류센터,0,0,0,0,창원 우편집중국,0,20,0,0,경남 창녕군,0,74.6,0
002P10025,충남 부여군,2,대전 우편집중국,0,0,8,1,중부권 광역우편물류센터,0,0,0,0,의정부 우편집중국,0,22,0,0,경기 포천시,0,52.5,0
002P10026,대구 달서구,2,대구 우편집중국,0,0,5,1,중부권 광역우편물류센터,0,0,0,0,울산 우편집중국,0,19,0,0,울산 북구,0,30.0,0
002P10027,전남 영광군,2,광주 우편집중국,0,0,6,1,중부권 광역우편물류센터,0,0,0,0,안동 우편집중국,0,20,0,0,경북 청송군,0,90.4,0
002P10028,대구 달성군,2,대구 우편집중국,0,0,6,1,중부권 광역우편물류센터,0,0,0,0,성남 우편집중국,0,20,0,0,서울 금천구,0,56.5,0
002P10029,대구 동구,2,대구 우편집중국,0,0,5,1,중부권 광역우편물류센터,0,0,0,0,부천 우편집중국,0,19,0,0,경기 안산시 상록구,0,71.1,0
002P10030,서울 관악구,2,성남 우편집중국,0,0,6,1,중부권 광역우편물류센터,0,0,0,0,울산 우편집중국,0,20,0,0,부산 기장군,0,64.7,0
003P10001,경남 함양군,3,진주 우편집중국,0,0,7,2,중부권 광역우편물류센터,0,0,0,0,부천 우편집중국,0,22,0,0,서울 강서구,0,35.5,0
003P10002,충북 청주시 서원구,3,청주 우편집중국,0,0,2,1,중부권 광역우편물류센터,0,0,0,0,동서울 우편집중국,0,17,0,0,서울 종로구,0,83.6,0
003P10003,울산 동구,3,울산 우편집중국,0,0,2,2,중부권 광역우편물류센터,0,0,0,0,동서울 우편집중국,0,17,0,0,서울 동대문구,0,83.6,0
003P10004,경남 창원시 마산합포구,3,창원 우편집중국,0,0,2,1,중부권 광역우편물류센터,0,0,0,0,울산 우편집중국,0,17,0,0,울산 중구,0,30.0,0
003P10005,대전 유성구,3,대전 우편집중국,0,0,4,2,중부권 광역우편물류센터,0,0,0,0,창원 우편집중국,0,19,0,0,경남 창녕군,0,74.6,0
003P10006,경기 남양주시,3,동서울 우편집중국,0,0,5,1,중부권 광역우편물류센터,0,0,0,0,광주 우편집중국,0,20,0,0,전남 함평군,0,107.6,0
003P10007,광주 광산구,3,광주 우편집중국,0,0,14,1,중부권 광역우편물류센터,0,0,0,0,부천 우편집중국,0,29,0,0,인천 동구,0,74.39999999999999,0
003P10008,경북 영덕군,3,포항 우편집중국,0,0,2,1,중부권 광역우편물류센터,0,0,0,0,고양 우편집중국,0,17,0,0,경기 김포시,0,35.8,0
003P10009,충북 보은군,3,청주 우편집중국,0,0,6,1,중부권 광역우편물류센터,0,0,0,0,대전 우편집중국,0,21,0,0,대전 유성구,0,46.5,0
003P10010,충북 영동군,3,천안 우편집중국,0,0,12,1,중부권 광역우편물류센터,0,0,0,0,원주 우편집중국,0,27,0,0,강원 화천군,0,108.20000000000002,0
003P10011,울산 울주군,3,울산 우편집중국,0,0,4,1,중부권 광역우편물류센터,0,0,0,0,천안 우편집중국,0,19,0,0,충북 영동군,0,164.5,0
003P10012,인천 미추홀구,3,부천 우편집중국,0,0,7,1,중부권 광역우편물류센터,0,0,0,0,진주 우편집중국,0,22,0,0,전북 김제시,0,284.1,0
004P10001,경남 하동군,4,진주 우편집중국,0,0,6,2,중부권 광역우편물류센터,0,0,0,0,원주 우편집중국,0,22,0,0,강원 춘천시,0,108.20000000000002,0
004P10002,경남 창원시 진해구,4,창원 우편집중국,0,0,8,3,중부권 광역우편물류센터,0,0,0,0,광주 우편집중국,0,24,0,0,전남 담양군,0,69.9,0
004P10003,경남 산청군,4,진주 우편집중국,0,0,5,1,중부권 광역우편물류센터,0,0,0,0,성남 우편집중국,0,21,0,0,서울 동작구,0,51.0,0
004P10004,부산 수영구,4,부산 우편집중국,0,0,7,1,중부권 광역우편물류센터,0,0,0,0,순천 집중과,0,23,0,0,전남 보성군,0,83.5,0
004P10005,대구 서구,4,대구 우편집중국,0,0,4,1,중부권 광역우편물류센터,0,0,0,0,천안 우편집중국,0,20,0,0,충남 당진시,0,109.4,0
004P10006,대구 북구,4,대구 우편집중국,0,0,2,2,중부권 광역우편물류센터,0,0,0,0,영암 우편집중국,0,18,0,0,전남 신안군,0,44.6,0
004P10007,인천 동구,4,부천 우편집중국,0,0,9,1,중부권 광역우편물류센터,0,0,0,0,진주 우편집중국,0,25,0,0,전북 완주군,0,188.70000000000002,0
004P10008,경기 용인시 기흥구,4,성남 우편집중국,0,0,7,1,중부권 광역우편물류센터,0,0,0,0,고양 우편집중국,0,23,0,0,서울 마포구,0,41.599999999999994,0
004P10009,경남 창원시 성산구,4,창원 우편집중국,0,0,7,1,중부권 광역우편물류센터,0,0,0,0,수원 우편집중국,0,23,0,0,경기 오산시,0,85.89999999999999,0
004P10010,대구 달성군,4,대구 우편집중국,0,0,6,2,중부권 광역우편물류센터,0,0,0,0,천안 우편집중국,0,22,0,0,충남 당진시,0,109.4,0
004P10011,충북 진천군,4,청주 우편집중국,0,0,5,1,중부권 광역우편물류센터,0,0,0,0,창원 우편집중국,0,21,0,0,경남 창원시 진해구,0,80.0,0
004P10012,충북 청주시 상당구,4,청주 우편집중국,0,0,5,1,중부권 광역우편물류센터,0,0,0,0,부천 우편집중국,0,21,0,0,인천 부평구,0,36.0,0
004P10013,전북 장수군,4,진주 우편집중국,0,0,8,1,중부권 광역우편물류센터,0,0,0,0,대전 우편집중국,0,24,0,0,세종특별자치시,0,56.1,0
004P10014,부산 금정구,4,부산 우편집중국,0,0,7,1,중부권 광역우편물류센터,0,0,0,0,동서울 우편집중국,0,23,0,0,서울 용산구,0,83.6,0
004P10015,강원 평창군,4,원주 우편집중국,0,0,6,2,중부권 광역우편물류센터,0,0,0,0,성남 우편집중국,0,22,0,0,서울 금천구,0,56.5,0
004P10016,충북 영동군,4,천안 우편집중국,0,0,12,2,중부권 광역우편물류센터,0,0,0,0,동서울 우편집중국,0,28,0,0,서울 성동구,0,83.6,0
004P10017,전북 군산시,4,진주 우편집중국,0,0,18,1,중부권 광역우편물류센터,0,0,0,0,대구 우편집중국,0,34,0,0,대구 중구,0,30.0,0
004P10018,충남 공주시,4,대전 우편집중국,0,0,6,1,중부권 광역우편물류센터,0,0,0,0,대구 우편집중국,0,22,0,0,대구 동구,0,49.8,0
004P10019,충북 괴산군,4,청주 우편집중국,0,0,9,1,중부권 광역우편물류센터,0,0,0,0,동서울 우편집중국,0,25,0,0,서울 성동구,0,83.6,0
004P10020,전북 익산시,4,진주 우편집중국,0,0,13,1,중부권 광역우편물류센터,0,0,0,0,진주 우편집중국,0,29,0,0,경남 하동군,0,72.9,0
004P10021,경기 군포시,4,성남 우편집중국,0,0,6,1,중부권 광역우편물류센터,0,0,0,0,대구 우편집중국,0,22,0,0,대구 수성구,0,49.8,0
004P10022,강원 평창군,4,원주 우편집중국,0,0,6,2,중부권 광역우편물류센터,0,0,0,0,강릉 우편집중국,0,22,0,0,강원 삼척시,0,81.8,0
004P10023,충북 제천시,4,원주 우편집중국,0,0,3,1,중부권 광역우편물류센터,0,0,0,0,광주 우편집중국,0,19,0,0,전남 화순군,0,70.6,0
004P10024,경남 함양군,4,진주 우편집중국,0,0,7,3,중부권 광역우편물류센터,0,0,0,0,강릉 우편집중국,0,23,0,0,강원 동해시,0,71.8,0
004P10025,경남 창원시 진해구,4,창원 우편집중국,0,0,8,3,중부권 광역우편물류센터,0,0,0,0,원주 우편집중국,0,24,0,0,강원 춘천시,0,108.20000000000002,0
004P10026,대전 서구,4,대전 우편집중국,0,0,4,1,중부권 광역우편물류센터,0,0,0,0,대전 우편집중국,0,20,0,0,대전 대덕구,0,66.19999999999999,0
