택배번호,출발지,출발시간,경유지1,하차시간,상차시간,거리,통행량,경유지2,하차시간,상차시간,거리,통행량,경유지3,하차시간,상차시간,거리,통행량,도착지,도착시간,거리,통행량
003P10005,강원 강릉시,3,30,1,강릉 우편집중국,5,17,368,1,중부권 광역우편물류센터,42,88,199,13,광주 우편집중국,101,113,140,3,전남 나주시,0,0
003P10006,경기 시흥시,3,53,1,부천 우편집중국,7,19,253,8,중부권 광역우편물류센터,36,60,53,6,대전 우편집중국,64,76,56,1,세종특별자치시,0,0
003P10007,경북 영덕군,3,30,1,포항 우편집중국,5,17,271,1,중부권 광역우편물류센터,35,59,199,3,광주 우편집중국,72,84,140,1,전남 나주시,0,0
003P10008,경기 동두천시,3,45,1,의정부 우편집중국,6,18,261,4,중부권 광역우편물류센터,35,59,295,9,부산 우편집중국,79,91,35,2,부산 남구,0,0
003P10009,경남 고성군,3,117,1,창원 우편집중국,11,23,251,6,중부권 광역우편물류센터,40,64,251,3,창원 우편집중국,81,93,75,1,경남 창녕군,0,0
003P10010,서울 구로구,3,88,1,성남 우편집중국,9,21,218,12,중부권 광역우편물류센터,36,60,251,2,창원 우편집중국,77,89,35,1,경남 창원시 의창구,0,0
003P10011,대구 달서구,3,48,1,대구 우편집중국,6,18,192,3,중부권 광역우편물류센터,31,55,253,4,부천 우편집중국,72,84,36,1,인천 부평구,0,0
003P10012,충북 괴산군,3,142,2,청주 우편집중국,12,24,100,10,중부권 광역우편물류센터,31,55,368,1,강릉 우편집중국,80,92,72,1,강원 동해시,0,0
003P10013,경기 용인시 수지구,3,58,1,성남 우편집중국,7,19,218,4,중부권 광역우편물류센터,34,58,295,7,부산 우편집중국,78,90,70,2,부산 부산진구,0,0
003P10014,충북 괴산군,3,142,2,청주 우편집중국,12,24,100,10,중부권 광역우편물류센터,31,55,192,3,대구 우편집중국,68,80,54,1,경북 경산시,0,0
003P10015,강원 태백시,3,227,1,원주 우편집중국,18,30,256,13,중부권 광역우편물류센터,47,88,295,20,부산 우편집중국,108,120,60,2,부산 동래구,0,0
003P10016,경기 수원시 팔달구,3,69,1,수원 우편집중국,8,20,229,3,중부권 광역우편물류센터,35,59,261,3,의정부 우편집중국,76,88,68,1,경기 의정부시,0,0
