택배번호,출발지,출발시간,경유지1,하차시간,상차시간,거리,통행량,경유지2,하차시간,상차시간,거리,통행량,경유지3,하차시간,상차시간,거리,통행량,도착지,도착시간,거리,통행량
020P10026,경남 창원시 마산합포구,20,30,1,창원 우편집중국,22,34,251,19,중부권 광역우편물류센터,51,136,318,7,울산 우편집중국,157,169,35,3,울산 울주군,0,0
021P10001,경기 수원시 권선구,21,77,1,수원 우편집중국,26,38,229,13,중부권 광역우편물류센터,53,136,290,5,영암 우편집중국,155,167,63,2,전남 무안군,0,0
021P10002,대구 북구,21,30,1,대구 우편집중국,23,35,192,28,중부권 광역우편물류센터,48,136,133,10,천안 우편집중국,145,157,164,5,충북 영동군,0,0
021P10003,충남 천안시 서북구,21,30,1,천안 우편집중국,23,35,133,14,중부권 광역우편물류센터,44,88,251,7,창원 우편집중국,105,117,35,2,경남 창원시 의창구,0,0
021P10004,울산 남구,21,30,1,울산 우편집중국,23,35,318,15,중부권 광역우편물류센터,56,184,133,9,천안 우편집중국,193,0,30,0,충남 천안시 동남구,0,0
021P10005,충북 제천시,21,62,1,원주 우편집중국,25,37,256,24,중부권 광역우편물류센터,54,136,53,9,대전 우편집중국,140,152,116,4,충남 부여군,0,0
021P10006,경기 시흥시,21,53,1,부천 우편집중국,25,37,253,29,중부권 광역우편물류센터,54,136,218,17,성남 우편집중국,151,163,72,4,경기 광주시,0,0
021P10007,전남 보성군,21,84,2,순천 집중과,27,39,233,8,중부권 광역우편물류센터,55,136,256,13,원주 우편집중국,153,165,150,3,강원 인제군,0,0
021P10008,광주 남구,21,150,1,광주 우편집중국,31,43,199,16,중부권 광역우편물류센터,56,184,256,6,원주 우편집중국,0,0,124,0,강원 정선군,0,0
021P10009,경북 울진군,21,30,1,포항 우편집중국,23,35,271,11,중부권 광역우편물류센터,53,136,318,7,울산 우편집중국,157,169,30,4,울산 북구,0,0
021P10010,전북 순창군,21,169,2,진주 우편집중국,32,44,202,24,중부권 광역우편물류센터,57,184,229,4,수원 우편집중국,199,0,110,0,경기 화성시,0,0
021P10011,서울 서대문구,21,42,1,고양 우편집중국,24,36,268,17,중부권 광역우편물류센터,54,136,251,4,창원 우편집중국,153,165,117,4,경남 고성군,0,0
021P10012,강원 삼척시,21,82,1,강릉 우편집중국,26,38,368,8,중부권 광역우편물류센터,63,184,202,16,진주 우편집중국,197,0,142,0,전북 남원시,0,0
021P10013,경기 이천시,21,94,1,성남 우편집중국,27,39,218,31,중부권 광역우편물류센터,54,136,256,13,원주 우편집중국,153,165,124,3,강원 정선군,0,0
021P10014,경기 용인시 수지구,21,58,1,성남 우편집중국,25,37,218,29,중부권 광역우편물류센터,52,136,192,13,대구 우편집중국,149,161,54,3,대구 달성군,0,0
021P10015,대전 중구,21,57,1,대전 우편집중국,25,37,53,3,중부권 광역우편물류센터,41,88,251,7,창원 우편집중국,105,117,117,2,경남 고성군,0,0
021P10016,전남 목포시,21,45,1,영암 우편집중국,24,36,290,14,중부권 광역우편물류센터,55,136,218,17,성남 우편집중국,151,163,72,4,경기 광주시,0,0
021P10017,강원 철원군,21,55,1,의정부 우편집중국,25,37,261,16,중부권 광역우편물류센터,54,136,248,14,동서울 우편집중국,153,165,84,2,서울 성동구,0,0
021P10018,충북 단양군,21,98,1,원주 우편집중국,28,40,256,31,중부권 광역우편물류센터,57,184,199,14,광주 우편집중국,197,0,128,0,전남 구례군,0,0
021P10019,강원 양구군,21,108,4,원주 우편집중국,28,40,256,31,중부권 광역우편물류센터,57,184,295,12,부산 우편집중국,0,0,70,0,부산 서구,0,0
021P10020,경남 거제시,21,136,1,창원 우편집중국,30,42,251,17,중부권 광역우편물류센터,59,184,248,11,동서울 우편집중국,0,0,84,0,서울 용산구,0,0
021P10021,세종특별자치시,21,56,2,대전 우편집중국,25,37,53,3,중부권 광역우편물류센터,41,88,192,14,대구 우편집중국,101,113,88,2,경북 성주군,0,0
021P10022,부산 북구,21,35,1,부산 우편집중국,23,35,295,34,중부권 광역우편물류센터,55,136,261,8,의정부 우편집중국,153,165,38,3,경기 양주시,0,0
021P10023,경기 의정부시,21,68,1,의정부 우편집중국,26,38,261,19,중부권 광역우편물류센터,55,136,192,13,대구 우편집중국,149,161,106,4,경북 김천시,0,0
021P10024,경북 포항시 남구,21,30,1,포항 우편집중국,23,35,271,11,중부권 광역우편물류센터,53,136,295,9,부산 우편집중국,156,168,70,6,부산 중구,0,0
021P10025,경북 문경시,21,119,1,안동 우편집중국,29,41,216,12,중부권 광역우편물류센터,55,136,216,10,안동 우편집중국,150,162,70,3,경북 의성군,0,0
021P10026,경북 고령군,21,80,2,대구 우편집중국,26,38,192,27,중부권 광역우편물류센터,51,136,233,4,순천 집중과,152,164,47,3,전남 광양시,0,0
021P10027,서울 구로구,21,88,1,성남 우편집중국,27,39,218,31,중부권 광역우편물류센터,54,136,256,13,원주 우편집중국,153,165,62,3,강원 영월군,0,0
021P10028,대구 남구,21,43,2,대구 우편집중국,24,36,192,26,중부권 광역우편물류센터,49,136,256,13,원주 우편집중국,153,165,75,4,경기 여주시,0,0
021P10029,경북 김천시,21,106,1,대구 우편집중국,28,40,192,22,중부권 광역우편물류센터,53,136,218,17,성남 우편집중국,151,163,39,3,경기 성남시 분당구,0,0
022P10001,경기 의왕시,22,66,1,성남 우편집중국,26,38,218,31,중부권 광역우편물류센터,53,136,318,7,울산 우편집중국,157,169,35,3,울산 울주군,0,0
022P10002,부산 동래구,22,60,2,부산 우편집중국,26,38,295,38,중부권 광역우편물류센터,58,184,261,9,의정부 우편집중국,0,0,53,0,경기 구리시,0,0
022P10003,부산 동래구,22,60,2,부산 우편집중국,26,38,295,38,중부권 광역우편물류센터,58,184,192,13,대구 우편집중국,197,0,48,0,대구 달서구,0,0
022P10004,충남 아산시,22,45,1,천안 우편집중국,25,37,133,13,중부권 광역우편물류센터,46,88,202,15,진주 우편집중국,101,113,149,1,경남 합천군,0,0
022P10005,경북 봉화군,22,57,1,안동 우편집중국,26,38,216,12,중부권 광역우편물류센터,52,136,248,14,동서울 우편집중국,153,165,36,4,서울 성북구,0,0
022P10006,전남 장성군,22,39,1,광주 우편집중국,25,37,199,13,중부권 광역우편물류센터,50,136,268,5,고양 우편집중국,154,166,30,3,경기 고양시 일산서구,0,0
022P10007,강원 동해시,22,72,1,강릉 우편집중국,27,39,368,10,중부권 광역우편물류센터,64,0,318,0,울산 우편집중국,0,0,94,0,경남 양산시,0,0
022P10008,부산 영도구,22,70,2,부산 우편집중국,27,39,295,38,중부권 광역우편물류센터,59,184,199,14,광주 우편집중국,197,0,71,0,전남 화순군,0,0
022P10009,서울 도봉구,22,64,1,의정부 우편집중국,26,38,261,19,중부권 광역우편물류센터,55,136,53,9,대전 우편집중국,140,152,77,3,충남 논산시,0,0
022P10010,부산 동구,22,35,1,부산 우편집중국,24,36,295,39,중부권 광역우편물류센터,56,184,318,4,울산 우편집중국,0,0,65,0,부산 기장군,0,0
022P10011,서울 노원구,22,64,1,의정부 우편집중국,26,38,261,19,중부권 광역우편물류센터,55,136,192,13,대구 우편집중국,149,161,80,3,경북 고령군,0,0
022P10012,전남 영암군,22,50,2,영암 우편집중국,25,37,290,17,중부권 광역우편물류센터,56,184,295,12,부산 우편집중국,0,0,70,0,부산 중구,0,0
022P10013,전남 영암군,22,50,2,영암 우편집중국,25,37,290,17,중부권 광역우편물류센터,56,184,53,15,대전 우편집중국,188,200,30,4,충남 계룡시,0,0
022P10014,강원 양양군,22,68,1,강릉 우편집중국,27,39,368,10,중부권 광역우편물류센터,64,0,202,0,진주 우편집중국,0,0,124,0,경남 거창군,0,0
022P10015,전북 전주시 덕진구,22,190,2,진주 우편집중국,35,47,202,28,중부권 광역우편물류센터,60,184,253,13,부천 우편집중국,0,0,36,0,서울 강서구,0,0
022P10016,대구 남구,22,43,3,대구 우편집중국,25,37,192,27,중부권 광역우편물류센터,50,136,199,11,광주 우편집중국,149,161,108,6,전남 함평군,0,0
022P10017,경남 함안군,22,49,1,창원 우편집중국,25,37,251,17,중부권 광역우편물류센터,54,136,256,13,원주 우편집중국,153,165,62,3,충북 제천시,0,0
023P10001,전북 부안군,23,270,3,진주 우편집중국,41,53,202,36,중부권 광역우편물류센터,66,0,290,0,영암 우편집중국,0,0,50,0,전남 영암군,0,0
023P10002,부산 수영구,23,60,1,부산 우편집중국,27,39,295,38,중부권 광역우편물류센터,59,184,100,9,청주 우편집중국,191,0,142,0,충북 괴산군,0,0
023P10003,충북 청주시 서원구,23,30,1,청주 우편집중국,25,37,100,14,중부권 광역우편물류센터,44,88,133,7,천안 우편집중국,97,109,128,4,충남 서산시,0,0
023P10004,강원 홍천군,23,81,1,원주 우편집중국,28,40,256,31,중부권 광역우편물류센터,57,184,253,13,부천 우편집중국,0,0,47,0,인천 서구,0,0
023P10005,서울 강북구,23,64,1,의정부 우편집중국,27,39,261,18,중부권 광역우편물류센터,56,184,268,7,고양 우편집중국,0,0,48,0,경기 파주시,0,0
023P10006,경기 고양시 일산서구,23,30,1,고양 우편집중국,25,37,268,18,중부권 광역우편물류센터,55,160,256,1,원주 우편집중국,177,189,150,4,강원 인제군,0,0
023P10007,경북 예천군,23,44,1,안동 우편집중국,26,38,216,12,중부권 광역우편물류센터,52,136,216,10,안동 우편집중국,150,162,70,3,경북 의성군,0,0
023P10008,경남 창원시 의창구,23,35,1,창원 우편집중국,25,37,251,17,중부권 광역우편물류센터,54,136,192,13,대구 우편집중국,149,161,54,3,대구 달성군,0,0
023P10009,경남 남해군,23,73,1,진주 우편집중국,28,40,202,29,중부권 광역우편물류센터,53,136,53,9,대전 우편집중국,140,152,190,5,충남 보령시,0,0
023P10010,인천 연수구,23,70,2,부천 우편집중국,28,40,253,28,중부권 광역우편물류센터,57,184,216,5,안동 우편집중국,198,0,57,0,경북 영주시,0,0
023P10011,전남 진도군,23,30,1,영암 우편집중국,25,37,290,17,중부권 광역우편물류센터,56,184,133,9,천안 우편집중국,193,0,113,0,충남 예산군,0,0
023P10012,대구 북구,23,30,1,대구 우편집중국,25,37,192,27,중부권 광역우편물류센터,50,136,248,14,동서울 우편집중국,153,165,51,7,경기 하남시,0,0
023P10013,전남 광양시,23,47,1,순천 집중과,26,38,233,8,중부권 광역우편물류센터,54,136,253,8,부천 우편집중국,153,165,36,5,인천 부평구,0,0
023P10014,서울 금천구,23,56,1,성남 우편집중국,27,39,218,31,중부권 광역우편물류센터,54,136,53,9,대전 우편집중국,140,152,190,5,충남 보령시,0,0
023P10015,서울 종로구,23,84,1,동서울 우편집중국,29,41,248,27,중부권 광역우편물류센터,58,184,216,5,안동 우편집중국,198,0,30,0,경북 안동시,0,0
023P10016,경기 성남시 수정구,23,43,2,성남 우편집중국,26,38,218,31,중부권 광역우편물류센터,53,136,261,8,의정부 우편집중국,153,165,64,3,서울 도봉구,0,0
023P10017,서울 은평구,23,39,1,고양 우편집중국,26,38,268,19,중부권 광역우편물류센터,56,184,53,15,대전 우편집중국,188,200,116,6,충남 부여군,0,0
023P10018,충북 증평군,23,58,1,청주 우편집중국,27,39,100,12,중부권 광역우편물류센터,46,88,218,15,성남 우편집중국,103,115,56,4,경기 안양시 만안구,0,0
023P10019,경북 영천시,23,168,4,포항 우편집중국,34,46,271,16,중부권 광역우편물류센터,64,0,133,0,천안 우편집중국,0,0,109,0,충남 당진시,0,0
023P10020,경북 고령군,23,80,2,대구 우편집중국,28,40,192,22,중부권 광역우편물류센터,53,136,192,13,대구 우편집중국,149,161,30,6,대구 북구,0,0
023P10021,경북 문경시,23,119,2,안동 우편집중국,31,43,216,13,중부권 광역우편물류센터,57,184,202,16,진주 우편집중국,197,0,82,0,경남 산청군,0,0
023P10022,전북 익산시,23,200,2,진주 우편집중국,36,48,202,28,중부권 광역우편물류센터,61,184,53,15,대전 우편집중국,188,200,30,4,충남 계룡시,0,0
023P10023,경기 수원시 팔달구,23,69,1,수원 우편집중국,28,40,229,11,중부권 광역우편물류센터,55,160,248,1,동서울 우편집중국,177,189,58,3,서울 송파구,0,0
023P10024,경기 성남시 수정구,23,43,2,성남 우편집중국,26,38,218,31,중부권 광역우편물류센터,53,136,100,7,청주 우편집중국,143,155,71,4,충북 진천군,0,0
023P10025,충북 보은군,23,87,1,청주 우편집중국,29,41,100,8,중부권 광역우편물류센터,48,136,368,7,강릉 우편집중국,161,173,30,4,강원 강릉시,0,0
024P10001,광주 서구,24,150,2,광주 우편집중국,34,46,199,18,중부권 광역우편물류센터,59,184,192,13,대구 우편집중국,197,0,43,0,대구 남구,0,0
024P10002,충남 홍성군,24,154,3,천안 우편집중국,34,46,133,10,중부권 광역우편물류센터,55,160,251,3,창원 우편집중국,177,189,30,2,경남 창원시 마산회원구,0,0
024P10003,서울 은평구,24,39,2,고양 우편집중국,27,39,268,19,중부권 광역우편물류센터,57,184,268,7,고양 우편집중국,0,0,36,0,경기 김포시,0,0
024P10004,충북 보은군,24,87,2,청주 우편집중국,30,42,100,7,중부권 광역우편물류센터,49,136,199,11,광주 우편집중국,149,161,70,2,전남 담양군,0,0
024P10005,전북 부안군,24,270,4,진주 우편집중국,42,54,202,39,중부권 광역우편물류센터,67,0,192,0,대구 우편집중국,0,0,43,0,대구 서구,0,0
024P10006,전북 전주시 완산구,24,214,1,진주 우편집중국,38,50,202,32,중부권 광역우편물류센터,63,184,253,13,부천 우편집중국,0,0,36,0,경기 부천시,0,0
024P10007,경기 안성시,24,114,1,수원 우편집중국,32,44,229,13,중부권 광역우편물류센터,59,184,199,14,광주 우편집중국,197,0,108,0,전남 함평군,0,0
024P10008,충남 서산시,24,128,1,천안 우편집중국,33,45,133,10,중부권 광역우편물류센터,54,136,100,7,청주 우편집중국,143,155,30,3,충북 청주시 청원구,0,0
024P10009,강원 삼척시,24,82,2,강릉 우편집중국,29,41,368,11,중부권 광역우편물류센터,66,0,100,0,청주 우편집중국,0,0,44,0,충북 청주시 흥덕구,0,0
024P10010,경북 의성군,24,70,1,안동 우편집중국,29,41,216,12,중부권 광역우편물류센터,55,160,53,1,대전 우편집중국,164,176,56,3,세종특별자치시,0,0
024P10011,대구 달성군,24,54,1,대구 우편집중국,28,40,192,22,중부권 광역우편물류센터,53,136,218,17,성남 우편집중국,151,163,66,2,경기 의왕시,0,0
024P10012,서울 광진구,24,30,1,동서울 우편집중국,26,38,248,24,중부권 광역우편물류센터,55,160,100,1,청주 우편집중국,167,179,44,2,충북 청주시 흥덕구,0,0
024P10013,전남 장흥군,24,69,1,영암 우편집중국,29,41,290,14,중부권 광역우편물류센터,60,184,290,7,영암 우편집중국,0,0,45,0,전남 목포시,0,0
024P10014,서울 강남구,24,82,1,동서울 우편집중국,29,41,248,27,중부권 광역우편물류센터,58,184,192,13,대구 우편집중국,197,0,50,0,대구 동구,0,0
024P10015,인천 연수구,24,70,2,부천 우편집중국,29,41,253,29,중부권 광역우편물류센터,58,184,256,6,원주 우편집중국,0,0,54,0,강원 횡성군,0,0
024P10016,경기 의왕시,24,66,2,성남 우편집중국,28,40,218,30,중부권 광역우편물류센터,55,160,251,3,창원 우편집중국,177,189,30,4,경남 창원시 마산합포구,0,0
024P10017,전북 장수군,24,133,1,진주 우편집중국,33,45,202,25,중부권 광역우편물류센터,58,184,199,14,광주 우편집중국,197,0,128,0,전남 구례군,0,0
024P10018,서울 도봉구,24,64,2,의정부 우편집중국,28,40,261,19,중부권 광역우편물류센터,57,184,192,13,대구 우편집중국,197,0,30,0,대구 북구,0,0
024P10019,경북 청도군,24,79,1,대구 우편집중국,29,41,192,21,중부권 광역우편물류센터,54,136,202,11,진주 우편집중국,149,161,102,3,경남 함양군,0,0
024P10020,인천 동구,24,74,1,부천 우편집중국,29,41,253,29,중부권 광역우편물류센터,58,184,268,7,고양 우편집중국,0,0,42,0,서울 마포구,0,0
024P10021,충북 충주시,24,44,1,청주 우편집중국,27,39,100,12,중부권 광역우편물류센터,46,88,192,14,대구 우편집중국,101,113,106,1,경북 김천시,0,0
024P10022,전북 김제시,24,284,2,진주 우편집중국,43,55,202,40,중부권 광역우편물류센터,68,0,133,0,천안 우편집중국,0,0,30,0,충남 천안시 서북구,0,0
024P10023,경기 화성시,24,110,1,수원 우편집중국,31,43,229,13,중부권 광역우편물류센터,58,184,233,4,순천 집중과,200,0,36,0,전남 순천시,0,0
024P10024,경남 창원시 진해구,24,80,1,창원 우편집중국,29,41,251,16,중부권 광역우편물류센터,58,184,202,16,진주 우편집중국,197,0,200,0,전북 익산시,0,0
024P10025,전남 영광군,24,82,1,광주 우편집중국,29,41,199,17,중부권 광역우편물류센터,54,136,202,11,진주 우편집중국,149,161,73,4,경남 하동군,0,0
024P10026,서울 강북구,24,64,2,의정부 우편집중국,28,40,261,19,중부권 광역우편물류센터,57,184,256,6,원주 우편집중국,0,0,62,0,강원 영월군,0,0
025P10001,경남 남해군,25,73,2,진주 우편집중국,30,42,202,28,중부권 광역우편물류센터,55,160,251,3,창원 우편집중국,177,189,30,2,경남 창원시 마산회원구,0,0
025P10002,경남 합천군,25,149,1,진주 우편집중국,35,47,202,28,중부권 광역우편물류센터,60,184,256,6,원주 우편집중국,0,0,62,0,충북 제천시,0,0
025P10003,충남 당진시,25,109,1,천안 우편집중국,32,44,133,10,중부권 광역우편물류센터,53,136,192,13,대구 우편집중국,149,161,54,3,경북 경산시,0,0
025P10004,충남 천안시 동남구,25,30,1,천안 우편집중국,27,39,133,13,중부권 광역우편물류센터,48,136,202,11,진주 우편집중국,149,161,82,2,경남 산청군,0,0
025P10005,경남 진주시,25,34,1,진주 우편집중국,27,39,202,30,중부권 광역우편물류센터,52,136,295,9,부산 우편집중국,156,168,35,3,부산 북구,0,0
025P10006,경남 함양군,25,101,2,진주 우편집중국,32,44,202,24,중부권 광역우편물류센터,57,184,295,12,부산 우편집중국,0,0,152,0,부산 해운대구,0,0
025P10007,경남 거제시,25,136,2,창원 우편집중국,34,46,251,21,중부권 광역우편물류센터,63,184,199,14,광주 우편집중국,197,0,140,0,전남 나주시,0,0
025P10008,전남 나주시,25,140,3,광주 우편집중국,34,46,199,18,중부권 광역우편물류센터,59,184,256,6,원주 우편집중국,0,0,124,0,강원 정선군,0,0
025P10009,경기 수원시 장안구,25,77,1,수원 우편집중국,30,42,229,12,중부권 광역우편물류센터,57,184,248,11,동서울 우편집중국,0,0,84,0,서울 성동구,0,0
025P10010,전북 군산시,25,307,3,진주 우편집중국,45,57,202,41,중부권 광역우편물류센터,70,0,290,0,영암 우편집중국,0,0,45,0,전남 목포시,0,0
026P10001,경기 안산시 단원구,26,68,1,부천 우편집중국,31,43,253,31,중부권 광역우편물류센터,60,184,218,12,성남 우편집중국,199,0,64,0,경기 용인시 처인구,0,0
026P10002,전남 무안군,26,63,1,영암 우편집중국,30,42,290,15,중부권 광역우편물류센터,61,184,53,15,대전 우편집중국,188,200,56,5,세종특별자치시,0,0
026P10003,전북 전주시 완산구,26,214,2,진주 우편집중국,40,52,202,36,중부권 광역우편물류센터,65,0,251,0,창원 우편집중국,0,0,136,0,경남 거제시,0,0
026P10004,강원 홍천군,26,81,2,원주 우편집중국,31,43,256,29,중부권 광역우편물류센터,60,184,100,9,청주 우편집중국,191,0,87,0,충북 보은군,0,0
026P10005,충남 계룡시,26,30,1,대전 우편집중국,28,40,53,5,중부권 광역우편물류센터,44,88,53,6,대전 우편집중국,92,104,57,3,대전 중구,0,0
026P10006,인천 중구,26,66,1,부천 우편집중국,30,42,253,29,중부권 광역우편물류센터,59,184,218,12,성남 우편집중국,199,0,43,0,경기 성남시 수정구,0,0
026P10007,전북 순창군,26,169,3,진주 우편집중국,37,49,202,30,중부권 광역우편물류센터,62,184,192,13,대구 우편집중국,197,0,48,0,대구 달서구,0,0
026P10008,전북 완주군,26,189,4,진주 우편집중국,39,51,202,34,중부권 광역우편물류센터,64,0,251,0,창원 우편집중국,0,0,30,0,경남 창원시 마산합포구,0,0
026P10009,충북 제천시,26,62,1,원주 우편집중국,30,42,256,28,중부권 광역우편물류센터,59,184,261,9,의정부 우편집중국,0,0,53,0,경기 구리시,0,0
026P10010,경남 합천군,26,149,3,진주 우편집중국,36,48,202,28,중부권 광역우편물류센터,61,184,233,4,순천 집중과,200,0,47,0,전남 광양시,0,0
026P10011,경남 합천군,26,149,3,진주 우편집중국,36,48,202,28,중부권 광역우편물류센터,61,184,100,9,청주 우편집중국,191,0,44,0,충북 청주시 흥덕구,0,0
026P10012,경기 평택시,26,105,1,수원 우편집중국,33,45,229,14,중부권 광역우편물류센터,60,184,199,14,광주 우편집중국,197,0,150,0,광주 서구,0,0
026P10013,강원 화천군,26,108,1,원주 우편집중국,33,45,256,33,중부권 광역우편물류센터,62,184,261,9,의정부 우편집중국,0,0,64,0,서울 강북구,0,0
026P10014,전남 구례군,26,128,1,광주 우편집중국,35,47,199,18,중부권 광역우편물류센터,60,184,295,12,부산 우편집중국,0,0,70,0,부산 부산진구,0,0
026P10015,전북 순창군,26,169,3,진주 우편집중국,37,49,202,30,중부권 광역우편물류센터,62,184,248,11,동서울 우편집중국,0,0,84,0,서울 성동구,0,0
026P10016,경기 오산시,26,86,1,수원 우편집중국,32,44,229,13,중부권 광역우편물류센터,59,184,218,12,성남 우편집중국,199,0,58,0,경기 용인시 수지구,0,0
026P10017,경기 용인시 수지구,26,58,1,성남 우편집중국,30,42,218,27,중부권 광역우편물류센터,57,184,251,4,창원 우편집중국,0,0,30,0,경남 창원시 마산회원구,0,0
026P10018,경북 경주시,26,226,4,포항 우편집중국,41,53,271,14,중부권 광역우편물류센터,71,0,202,0,진주 우편집중국,0,0,42,0,경남 사천시,0,0
026P10019,광주 광산구,26,202,2,광주 우편집중국,39,51,199,18,중부권 광역우편물류센터,64,0,192,0,대구 우편집중국,0,0,79,0,경북 청도군,0,0
026P10020,경북 경산시,26,54,1,대구 우편집중국,30,42,192,22,중부권 광역우편물류센터,55,160,229,2,수원 우편집중국,175,187,105,4,경기 평택시,0,0
026P10021,강원 정선군,26,124,1,원주 우편집중국,34,46,256,35,중부권 광역우편물류센터,63,184,295,12,부산 우편집중국,0,0,70,0,부산 중구,0,0
026P10022,서울 동대문구,26,84,1,동서울 우편집중국,32,44,248,28,중부권 광역우편물류센터,61,184,133,9,천안 우편집중국,193,0,175,0,전북 무주군,0,0
027P10001,경북 영양군,27,90,1,안동 우편집중국,33,45,216,15,중부권 광역우편물류센터,59,184,290,7,영암 우편집중국,0,0,69,0,전남 장흥군,0,0
027P10002,서울 종로구,27,84,2,동서울 우편집중국,33,45,248,31,중부권 광역우편물류센터,62,184,100,9,청주 우편집중국,191,0,30,0,충북 청주시 청원구,0,0
027P10003,경남 하동군,27,73,1,진주 우편집중국,32,44,202,24,중부권 광역우편물류센터,57,184,253,13,부천 우편집중국,0,0,61,0,인천 미추홀구,0,0
027P10004,경기 수원시 영통구,27,30,1,수원 우편집중국,29,41,229,11,중부권 광역우편물류센터,56,184,199,14,광주 우편집중국,197,0,150,0,광주 서구,0,0
027P10005,서울 광진구,27,30,1,동서울 우편집중국,29,41,248,27,중부권 광역우편물류센터,58,184,271,6,포항 우편집중국,0,0,30,0,경북 영덕군,0,0
027P10006,경기 동두천시,27,45,1,의정부 우편집중국,30,42,261,17,중부권 광역우편물류센터,59,184,295,12,부산 우편집중국,0,0,70,0,부산 중구,0,0
027P10007,경북 안동시,27,30,1,안동 우편집중국,29,41,216,12,중부권 광역우편물류센터,55,160,229,2,수원 우편집중국,175,187,30,3,경기 수원시 영통구,0,0
027P10008,서울 중구,27,84,1,동서울 우편집중국,33,45,248,31,중부권 광역우편물류센터,62,184,100,9,청주 우편집중국,191,0,58,0,충북 증평군,0,0
027P10009,인천 옹진군,27,66,1,부천 우편집중국,31,43,253,31,중부권 광역우편물류센터,60,184,202,16,진주 우편집중국,197,0,73,0,경남 하동군,0,0
027P10010,경남 거창군,27,124,1,진주 우편집중국,35,47,202,28,중부권 광역우편물류센터,60,184,53,15,대전 우편집중국,188,200,76,2,충남 공주시,0,0
027P10011,대구 중구,27,30,1,대구 우편집중국,29,41,192,21,중부권 광역우편물류센터,54,136,100,7,청주 우편집중국,143,155,71,4,충북 진천군,0,0
027P10012,전북 전주시 덕진구,27,190,3,진주 우편집중국,40,52,202,36,중부권 광역우편물류센터,65,0,261,0,의정부 우편집중국,0,0,48,0,서울 중랑구,0,0
027P10013,경기 김포시,27,36,1,고양 우편집중국,29,41,268,20,중부권 광역우편물류센터,59,184,218,12,성남 우편집중국,199,0,58,0,경기 용인시 수지구,0,0
027P10014,충북 진천군,27,71,2,청주 우편집중국,32,44,100,10,중부권 광역우편물류센터,51,136,199,11,광주 우편집중국,149,161,39,1,전남 장성군,0,0
027P10015,경기 평택시,27,105,2,수원 우편집중국,34,46,229,12,중부권 광역우편물류센터,61,184,53,15,대전 우편집중국,188,200,57,5,대전 중구,0,0
027P10016,경남 창원시 의창구,27,35,1,창원 우편집중국,29,41,251,16,중부권 광역우편물류센터,58,184,248,11,동서울 우편집중국,0,0,54,0,서울 강동구,0,0
027P10017,부산 동구,27,35,1,부산 우편집중국,29,41,295,35,중부권 광역우편물류센터,61,184,199,14,광주 우편집중국,197,0,71,0,광주 동구,0,0
027P10018,경북 포항시 남구,27,30,1,포항 우편집중국,29,41,271,11,중부권 광역우편물류센터,59,184,218,12,성남 우편집중국,199,0,43,0,경기 성남시 중원구,0,0
027P10019,충북 진천군,27,71,2,청주 우편집중국,32,44,100,10,중부권 광역우편물류센터,51,136,133,10,천안 우편집중국,145,157,154,1,충남 금산군,0,0
027P10020,경북 성주군,27,88,1,대구 우편집중국,33,45,192,25,중부권 광역우편물류센터,58,184,253,13,부천 우편집중국,0,0,36,0,서울 영등포구,0,0
027P10021,울산 북구,27,30,1,울산 우편집중국,29,41,318,10,중부권 광역우편물류센터,62,184,192,13,대구 우편집중국,197,0,84,0,경북 군위군,0,0
027P10022,대구 달성군,27,54,2,대구 우편집중국,31,43,192,24,중부권 광역우편물류센터,56,184,218,12,성남 우편집중국,199,0,56,0,서울 관악구,0,0
027P10023,경기 구리시,27,53,1,의정부 우편집중국,31,43,261,19,중부권 광역우편물류센터,60,184,100,9,청주 우편집중국,191,0,30,0,충북 청주시 서원구,0,0
027P10024,광주 서구,27,150,3,광주 우편집중국,37,49,199,17,중부권 광역우편물류센터,62,184,100,9,청주 우편집중국,191,0,142,0,충북 괴산군,0,0
027P10025,서울 동작구,27,51,1,성남 우편집중국,30,42,218,27,중부권 광역우편물류센터,57,184,199,14,광주 우편집중국,197,0,150,0,광주 남구,0,0
027P10026,광주 서구,27,150,3,광주 우편집중국,37,49,199,17,중부권 광역우편물류센터,62,184,290,7,영암 우편집중국,0,0,50,0,전남 영암군,0,0
027P10027,서울 강서구,27,36,1,부천 우편집중국,29,41,253,29,중부권 광역우편물류센터,58,184,133,9,천안 우편집중국,193,0,45,0,충남 아산시,0,0
027P10028,경북 봉화군,27,57,1,안동 우편집중국,31,43,216,13,중부권 광역우편물류센터,57,184,218,12,성남 우편집중국,199,0,60,0,경기 광명시,0,0
027P10029,전남 곡성군,27,92,1,광주 우편집중국,33,45,199,14,중부권 광역우편물류센터,58,184,192,13,대구 우편집중국,197,0,50,0,대구 동구,0,0
027P10030,부산 부산진구,27,70,1,부산 우편집중국,32,44,295,36,중부권 광역우편물류센터,64,0,233,0,순천 집중과,0,0,47,0,전남 광양시,0,0
027P10031,경기 안산시 상록구,27,71,1,부천 우편집중국,32,44,253,33,중부권 광역우편물류센터,61,184,248,11,동서울 우편집중국,0,0,84,0,서울 동대문구,0,0
027P10032,충남 서산시,27,128,2,천안 우편집중국,36,48,133,9,중부권 광역우편물류센터,57,184,261,9,의정부 우편집중국,0,0,48,0,서울 중랑구,0,0
