택배번호,출발지,출발시간,거리,통행량,경유지1,하차시간,상차시간,거리,통행량,경유지2,하차시간,상차시간,거리,통행량,경유지3,하차시간,상차시간,거리,통행량,도착지,도착시간
001P10037,충남 태안군,1,128,4,천안 우편집중국,7,19,133,29,중부권 광역우편물류센터,26,38,202,19,진주 우편집중국,48,60,169,2,전북 순창군,68
001P10038,부산 수영구,1,60,4,부산 우편집중국,4,16,295,20,중부권 광역우편물류센터,31,43,229,36,수원 우편집중국,54,66,110,5,경기 화성시,72
001P10039,강원 홍천군,1,81,3,원주 우편집중국,5,17,256,18,중부권 광역우편물류센터,30,42,368,18,강릉 우편집중국,60,72,30,5,강원 강릉시,74
001P10040,세종특별자치시,1,56,2,대전 우편집중국,4,16,53,23,중부권 광역우편물류센터,19,31,318,2,울산 우편집중국,47,59,94,2,경남 양산시,64
001P10041,부산 동구,1,35,4,부산 우편집중국,3,15,295,8,중부권 광역우편물류센터,30,42,100,33,청주 우편집중국,47,59,44,2,충북 충주시,61
001P10042,전남 장흥군,1,69,3,영암 우편집중국,4,16,290,21,중부권 광역우편물류센터,30,42,295,65,부산 우편집중국,57,69,74,3,경남 밀양시,73
001P10043,강원 영월군,1,62,2,원주 우편집중국,4,16,256,7,중부권 광역우편물류센터,29,41,199,40,광주 우편집중국,51,63,150,4,광주 남구,71
001P10044,경북 성주군,1,88,3,대구 우편집중국,5,17,192,46,중부권 광역우편물류센터,27,39,251,14,창원 우편집중국,52,64,75,3,경남 창원시 성산구,68
001P10045,울산 울주군,1,35,1,울산 우편집중국,3,15,318,4,중부권 광역우편물류센터,31,43,253,88,부천 우편집중국,56,68,36,8,인천 계양구,70
001P10046,경기 안성시,1,114,4,수원 우편집중국,7,19,229,36,중부권 광역우편물류센터,30,42,202,71,진주 우편집중국,52,64,180,2,전북 임실군,73
001P10047,전남 영광군,1,82,2,광주 우편집중국,5,17,199,12,중부권 광역우편물류센터,27,39,218,30,성남 우편집중국,50,62,48,3,경기 과천시,64
001P10048,서울 중구,1,84,1,동서울 우편집중국,5,17,248,25,중부권 광역우편물류센터,29,41,192,60,대구 우편집중국,51,63,106,3,경북 김천시,68
001P10049,강원 철원군,1,55,5,의정부 우편집중국,4,16,261,24,중부권 광역우편물류센터,29,41,318,23,울산 우편집중국,57,69,30,2,울산 중구,71
001P10050,경기 오산시,1,86,1,수원 우편집중국,5,17,229,18,중부권 광역우편물류센터,28,40,133,28,천안 우편집중국,47,59,135,4,충북 옥천군,66
001P10051,전남 곡성군,1,92,2,광주 우편집중국,6,18,199,25,중부권 광역우편물류센터,28,40,268,20,고양 우편집중국,53,65,48,4,경기 파주시,67
001P10052,경기 여주시,1,75,4,원주 우편집중국,5,17,256,18,중부권 광역우편물류센터,30,42,218,81,성남 우편집중국,53,65,56,4,경기 안양시 동안구,68
001P10053,세종특별자치시,1,56,2,대전 우편집중국,4,16,53,23,중부권 광역우편물류센터,19,31,253,1,부천 우편집중국,44,56,36,1,경기 부천시,58
001P10054,충북 진천군,1,71,2,청주 우편집중국,5,17,100,28,중부권 광역우편물류센터,22,34,192,10,대구 우편집중국,44,56,79,2,경북 청도군,60
001P10055,전북 완주군,1,189,2,진주 우편집중국,10,22,202,94,중부권 광역우편물류센터,32,44,295,98,부산 우편집중국,59,71,70,8,부산 사상구,75
001P10056,대구 서구,1,43,3,대구 우편집중국,3,15,192,12,중부권 광역우편물류센터,25,37,253,16,부천 우편집중국,50,62,70,1,인천 연수구,66
001P10057,광주 동구,1,71,3,광주 우편집중국,5,17,199,12,중부권 광역우편물류센터,27,39,216,13,안동 우편집중국,50,62,70,1,경북 의성군,66
001P10058,전남 순천시,1,36,2,순천 집중과,3,15,233,3,중부권 광역우편물류센터,27,39,202,26,진주 우편집중국,49,61,34,3,경남 진주시,63
001P10059,전북 김제시,1,284,1,진주 우편집중국,15,27,202,202,중부권 광역우편물류센터,37,59,256,115,원주 우편집중국,72,84,150,21,강원 인제군,92
001P10060,부산 남구,1,35,3,부산 우편집중국,3,15,295,8,중부권 광역우편물류센터,30,42,261,41,의정부 우편집중국,55,67,64,1,서울 도봉구,70
001P10061,전북 진안군,1,150,3,진주 우편집중국,9,21,202,59,중부권 광역우편물류센터,31,43,253,88,부천 우편집중국,56,68,66,4,인천 중구,71
001P10062,전남 장흥군,1,69,3,영암 우편집중국,4,16,290,21,중부권 광역우편물류센터,30,42,218,81,성남 우편집중국,53,65,66,3,경기 의왕시,68
001P10063,부산 해운대구,1,152,3,부산 우편집중국,9,21,295,113,중부권 광역우편물류센터,36,59,251,85,창원 우편집중국,72,84,75,23,경남 창원시 성산구,88
001P10064,경북 영주시,1,57,1,안동 우편집중국,4,16,216,11,중부권 광역우편물류센터,27,39,251,14,창원 우편집중국,52,64,30,2,경남 창원시 마산회원구,66
001P10065,인천 부평구,1,36,4,부천 우편집중국,3,15,253,10,중부권 광역우편물류센터,28,40,248,32,동서울 우편집중국,52,64,79,3,서울 서초구,68
001P10066,전남 강진군,1,50,3,영암 우편집중국,3,15,290,11,중부권 광역우편물류센터,29,41,251,26,창원 우편집중국,54,66,49,2,경남 함안군,68
001P10067,대구 북구,1,30,3,대구 우편집중국,3,15,192,12,중부권 광역우편물류센터,25,37,295,15,부산 우편집중국,52,64,34,3,부산 강서구,66
001P10068,경북 영덕군,1,30,2,포항 우편집중국,3,15,271,6,중부권 광역우편물류센터,29,41,133,40,천안 우편집중국,48,60,135,8,충북 옥천군,67
001P10069,경남 통영시,1,136,1,창원 우편집중국,8,20,251,50,중부권 광역우편물류센터,33,45,100,46,청주 우편집중국,50,62,30,12,충북 청주시 청원구,64
001P10070,경기 수원시 팔달구,1,69,4,수원 우편집중국,4,16,229,10,중부권 광역우편물류센터,27,39,53,14,대전 우편집중국,42,54,30,3,충남 계룡시,56
001P10071,경북 안동시,1,30,2,안동 우편집중국,3,15,216,4,중부권 광역우편물류센터,26,38,199,17,광주 우편집중국,48,60,202,2,광주 광산구,70
001P10072,서울 용산구,1,84,2,동서울 우편집중국,5,17,248,25,중부권 광역우편물류센터,29,41,192,60,대구 우편집중국,51,63,50,6,대구 수성구,65
001P10073,서울 성동구,1,84,3,동서울 우편집중국,5,17,248,25,중부권 광역우편물류센터,29,41,318,23,울산 우편집중국,57,69,30,7,울산 남구,71
001P10074,경기 여주시,1,75,4,원주 우편집중국,5,17,256,18,중부권 광역우편물류센터,30,42,271,15,포항 우편집중국,56,68,30,2,경북 울진군,70
001P10075,충남 공주시,1,76,3,대전 우편집중국,5,17,53,30,중부권 광역우편물류센터,20,32,216,2,안동 우편집중국,43,55,44,2,경북 예천군,57
001P10076,경기 수원시 팔달구,1,69,4,수원 우편집중국,4,16,229,10,중부권 광역우편물류센터,27,39,261,13,의정부 우편집중국,52,64,52,2,경기 포천시,67
001P10077,인천 옹진군,1,66,4,부천 우편집중국,4,16,253,27,중부권 광역우편물류센터,29,41,100,24,청주 우편집중국,46,58,142,3,충북 괴산군,65
001P10078,경북 김천시,1,106,2,대구 우편집중국,6,18,192,56,중부권 광역우편물류센터,28,40,218,41,성남 우편집중국,51,63,39,2,경기 성남시 분당구,65
001P10079,충북 청주시 상당구,1,65,1,청주 우편집중국,4,16,100,14,중부권 광역우편물류센터,21,33,290,1,영암 우편집중국,47,59,45,1,전남 신안군,61
001P10080,강원 철원군,1,55,5,의정부 우편집중국,4,16,261,24,중부권 광역우편물류센터,29,41,199,40,광주 우편집중국,51,63,57,4,광주 북구,66
001P10081,강원 춘천시,1,108,3,원주 우편집중국,6,18,256,33,중부권 광역우편물류센터,31,43,253,88,부천 우편집중국,56,68,36,9,인천 부평구,70
001P10082,충북 진천군,1,71,2,청주 우편집중국,5,17,100,28,중부권 광역우편물류센터,22,34,318,3,울산 우편집중국,50,62,30,1,울산 중구,64
001P10083,대전 대덕구,1,66,2,대전 우편집중국,4,16,53,23,중부권 광역우편물류센터,19,31,100,2,청주 우편집중국,36,48,65,1,충북 청주시 상당구,51
001P10084,인천 서구,1,47,2,부천 우편집중국,3,15,253,10,중부권 광역우편물류센터,28,40,248,32,동서울 우편집중국,52,64,144,2,경기 양평군,71
001P10085,부산 강서구,1,34,1,부산 우편집중국,3,15,295,8,중부권 광역우편물류센터,30,42,295,65,부산 우편집중국,57,69,70,5,부산 사상구,73
001P10086,전북 군산시,1,307,1,진주 우편집중국,16,28,202,212,중부권 광역우편물류센터,38,59,248,125,동서울 우편집중국,71,83,84,24,서울 용산구,87
001P10087,전남 보성군,1,84,3,순천 집중과,5,17,233,19,중부권 광역우편물류센터,29,41,202,58,진주 우편집중국,51,63,234,2,전북 고창군,75
001P10088,경남 거창군,1,124,2,진주 우편집중국,7,19,202,36,중부권 광역우편물류센터,29,41,295,49,부산 우편집중국,56,68,70,2,부산 영도구,72
001P10089,충북 음성군,1,97,3,청주 우편집중국,6,18,100,39,중부권 광역우편물류센터,23,35,256,8,원주 우편집중국,48,60,98,1,충북 단양군,65
001P10090,경기 광주시,1,72,1,성남 우편집중국,5,17,218,44,중부권 광역우편물류센터,28,40,295,37,부산 우편집중국,55,67,34,6,부산 강서구,69
001P10091,경기 연천군,1,55,4,의정부 우편집중국,4,16,261,24,중부권 광역우편물류센터,29,41,368,13,강릉 우편집중국,59,71,97,4,강원 속초시,76
001P10092,경남 의령군,1,53,1,진주 우편집중국,4,16,202,7,중부권 광역우편물류센터,26,38,253,24,부천 우편집중국,51,63,36,5,서울 양천구,65
001P10093,경기 고양시 일산동구,1,30,3,고양 우편집중국,3,15,268,8,중부권 광역우편물류센터,28,40,290,17,영암 우편집중국,54,66,30,2,전남 진도군,68
001P10094,경북 성주군,1,88,3,대구 우편집중국,5,17,192,46,중부권 광역우편물류센터,27,39,261,13,의정부 우편집중국,52,64,68,1,경기 의정부시,67
001P10095,강원 속초시,1,97,1,강릉 우편집중국,6,18,368,11,중부권 광역우편물류센터,36,59,229,52,수원 우편집중국,70,82,77,15,경기 수원시 권선구,86
001P10096,강원 원주시,1,30,3,원주 우편집중국,3,15,256,3,중부권 광역우편물류센터,28,40,271,7,포항 우편집중국,54,66,30,2,경북 영덕군,68
001P10097,충남 서산시,1,128,1,천안 우편집중국,7,19,133,29,중부권 광역우편물류센터,26,38,318,7,울산 우편집중국,54,66,94,3,경남 양산시,71
001P10098,강원 정선군,1,124,1,원주 우편집중국,7,19,256,48,중부권 광역우편물류센터,32,44,218,112,성남 우편집중국,55,67,56,7,경기 안양시 만안구,70
001P10099,경남 함안군,1,49,2,창원 우편집중국,3,15,251,10,중부권 광역우편물류센터,28,40,256,34,원주 우편집중국,53,65,124,7,강원 정선군,71
001P10100,충남 홍성군,1,154,1,천안 우편집중국,9,21,133,55,중부권 광역우편물류센터,28,40,253,48,부천 우편집중국,53,65,74,4,인천 동구,69
001P10101,강원 동해시,1,72,2,강릉 우편집중국,5,17,368,4,중부권 광역우편물류센터,35,47,100,44,청주 우편집중국,52,64,65,9,충북 청주시 상당구,67
001P10102,경북 의성군,1,70,1,안동 우편집중국,5,17,216,20,중부권 광역우편물류센터,28,40,268,20,고양 우편집중국,53,65,42,4,서울 마포구,67
001P10103,경기 안산시 상록구,1,71,5,부천 우편집중국,5,17,253,49,중부권 광역우편물류센터,30,42,192,68,대구 우편집중국,52,64,54,5,경북 경산시,67
001P10104,서울 송파구,1,58,3,동서울 우편집중국,4,16,248,12,중부권 광역우편물류센터,28,40,218,41,성남 우편집중국,51,63,94,3,경기 이천시,68
001P10105,경남 사천시,1,42,3,진주 우편집중국,3,15,202,4,중부권 광역우편물류센터,25,37,53,11,대전 우편집중국,40,52,190,2,충남 보령시,62
001P10106,충남 청양군,1,102,1,대전 우편집중국,6,18,53,38,중부권 광역우편물류센터,21,33,256,3,원주 우편집중국,46,58,150,2,강원 인제군,66
001P10107,대전 유성구,1,46,4,대전 우편집중국,3,15,53,8,중부권 광역우편물류센터,18,30,202,1,진주 우편집중국,40,52,34,1,경남 진주시,54
001P10108,서울 금천구,1,56,3,성남 우편집중국,4,16,218,24,중부권 광역우편물류센터,27,39,261,13,의정부 우편집중국,52,64,64,2,서울 노원구,67
001P10109,경북 예천군,1,44,2,안동 우편집중국,3,15,216,4,중부권 광역우편물류센터,26,38,268,10,고양 우편집중국,51,63,39,1,서울 은평구,65
001P10110,경기 동두천시,1,45,2,의정부 우편집중국,3,15,261,6,중부권 광역우편물류센터,28,40,53,20,대전 우편집중국,43,55,46,4,대전 유성구,57
001P10111,충북 청주시 흥덕구,1,44,2,청주 우편집중국,3,15,100,5,중부권 광역우편물류센터,20,32,253,4,부천 우편집중국,45,57,96,1,인천 강화군,62
