택배번호,출발지,출발시간,거리,통행량,경유지1,하차시간,상차시간,거리,통행량,경유지2,하차시간,상차시간,거리,통행량,경유지3,하차시간,상차시간,거리,통행량,도착지,도착시간
001P10041,서울 종로구,1,84,1,동서울 우편집중국,5,17,248,27,중부권 광역우편물류센터,29,41,53,4,충북 옥천군,44
001P10042,경북 청송군,1,90,2,안동 우편집중국,5,17,216,12,중부권 광역우편물류센터,28,40,317,5,강원 화천군,56
001P10043,서울 서대문구,1,42,4,고양 우편집중국,3,15,268,12,중부권 광역우편물류센터,28,40,250,3,충북 단양군,52
001P10044,부산 남구,1,35,2,부산 우편집중국,3,15,295,6,중부권 광역우편물류센터,30,42,187,4,충남 홍성군,51
001P10045,전남 해남군,1,50,1,영암 우편집중국,3,15,290,11,중부권 광역우편물류센터,29,41,415,5,강원 속초시,62
001P10046,전남 진도군,1,30,1,영암 우편집중국,3,15,290,11,중부권 광역우편물류센터,29,41,100,6,충북 청주시 서원구,46
001P10047,충북 음성군,1,97,2,청주 우편집중국,6,18,100,38,중부권 광역우편물류센터,23,35,241,1,경북 청도군,47
001P10048,경기 남양주시,1,40,2,동서울 우편집중국,3,15,248,3,중부권 광역우편물류센터,27,39,290,3,경남 창원시 성산구,53
001P10049,전북 정읍시,1,244,3,진주 우편집중국,13,25,202,130,중부권 광역우편물류센터,35,47,247,14,경기 부천시,59
001P10050,경기 여주시,1,75,3,원주 우편집중국,5,17,256,14,중부권 광역우편물류센터,30,42,231,4,충북 제천시,54
001P10051,경남 남해군,1,73,2,진주 우편집중국,5,17,202,8,중부권 광역우편물류센터,27,39,242,2,서울 성북구,51
001P10052,경남 김해시,1,39,2,부산 우편집중국,3,15,295,6,중부권 광역우편물류센터,30,42,193,6,전북 순창군,52
001P10053,경기 오산시,1,86,3,수원 우편집중국,5,17,229,18,중부권 광역우편물류센터,28,40,238,1,경기 남양주시,52
001P10054,전북 장수군,1,133,2,진주 우편집중국,8,20,202,33,중부권 광역우편물류센터,30,42,253,3,인천 동구,55
001P10055,서울 중구,1,84,4,동서울 우편집중국,5,17,248,27,중부권 광역우편물류센터,29,41,238,3,경기 남양주시,53
001P10056,경기 과천시,1,48,1,성남 우편집중국,3,15,218,3,중부권 광역우편물류센터,26,38,210,1,경기 수원시 권선구,48
001P10057,전남 보성군,1,84,2,순천 집중과,5,17,233,12,중부권 광역우편물류센터,29,41,279,5,서울 마포구,55
001P10058,전남 신안군,1,45,3,영암 우편집중국,3,15,290,11,중부권 광역우편물류센터,29,41,54,4,대전 유성구,44
001P10059,전남 신안군,1,45,3,영암 우편집중국,3,15,290,11,중부권 광역우편물류센터,29,41,190,2,경기 용인시 기흥구,51
001P10060,경남 밀양시,1,74,2,부산 우편집중국,5,17,295,41,중부권 광역우편물류센터,32,44,133,4,충남 천안시 서북구,51
001P10061,경북 영주시,1,57,1,안동 우편집중국,4,16,216,6,중부권 광역우편물류센터,27,39,47,3,대전 대덕구,41
001P10062,강원 양구군,1,108,3,원주 우편집중국,6,18,256,29,중부권 광역우편물류센터,31,43,308,3,부산 사상구,58
001P10063,전북 김제시,1,284,1,진주 우편집중국,15,27,202,167,중부권 광역우편물류센터,37,59,415,19,강원 속초시,80
001P10064,경남 양산시,1,94,1,울산 우편집중국,6,18,318,22,중부권 광역우편물류센터,34,46,287,11,광주 서구,60
001P10065,전북 전주시 완산구,1,214,2,진주 우편집중국,12,24,202,111,중부권 광역우편물류센터,34,46,287,7,광주 남구,60
001P10066,전북 전주시 완산구,1,214,2,진주 우편집중국,12,24,202,111,중부권 광역우편물류센터,34,46,253,9,인천 동구,59
001P10067,대구 수성구,1,50,2,대구 우편집중국,3,15,192,12,중부권 광역우편물류센터,25,37,308,1,부산 사하구,52
001P10068,부산 남구,1,35,2,부산 우편집중국,3,15,295,6,중부권 광역우편물류센터,30,42,415,6,강원 고성군,63
001P10069,전남 목포시,1,45,4,영암 우편집중국,3,15,290,11,중부권 광역우편물류센터,29,41,229,2,전남 곡성군,52
001P10070,부산 중구,1,70,1,부산 우편집중국,5,17,295,41,중부권 광역우편물류센터,32,44,198,3,경남 진주시,54
001P10071,충남 논산시,1,77,3,대전 우편집중국,5,17,53,27,중부권 광역우편물류센터,20,32,220,1,서울 송파구,43
001P10072,서울 서대문구,1,42,4,고양 우편집중국,3,15,268,12,중부권 광역우편물류센터,28,40,184,4,전북 김제시,49
001P10073,울산 울주군,1,35,3,울산 우편집중국,3,15,318,6,중부권 광역우편물류센터,31,43,192,6,대구 북구,53
001P10074,경남 함안군,1,49,3,창원 우편집중국,3,15,251,4,중부권 광역우편물류센터,28,40,164,1,충남 서천군,48
001P10075,경기 수원시 장안구,1,77,3,수원 우편집중국,5,17,229,18,중부권 광역우편물류센터,28,40,202,4,경기 수원시 팔달구,50
001P10076,경북 구미시,1,76,1,대구 우편집중국,5,17,192,34,중부권 광역우편물류센터,27,39,310,3,전남 장흥군,55
001P10077,강원 강릉시,1,30,2,강릉 우편집중국,3,15,368,2,중부권 광역우편물류센터,33,45,290,11,강원 홍천군,59
001P10078,서울 강북구,1,64,3,의정부 우편집중국,4,16,261,16,중부권 광역우편물류센터,29,41,274,1,인천 강화군,55
001P10079,광주 광산구,1,202,3,광주 우편집중국,11,23,199,66,중부권 광역우편물류센터,33,45,128,9,충북 증평군,51
001P10080,충남 천안시 서북구,1,30,1,천안 우편집중국,3,15,133,6,중부권 광역우편물류센터,22,34,274,1,경북 영천시,48
001P10081,전남 곡성군,1,92,1,광주 우편집중국,6,18,199,19,중부권 광역우편물류센터,28,40,184,5,대구 서구,49
001P10082,전북 완주군,1,189,2,진주 우편집중국,10,22,202,64,중부권 광역우편물류센터,32,44,318,7,울산 남구,60
001P10083,경기 부천시,1,36,1,부천 우편집중국,3,15,253,8,중부권 광역우편물류센터,28,40,276,1,전남 나주시,54
001P10084,경남 합천군,1,149,1,진주 우편집중국,8,20,202,33,중부권 광역우편물류센터,30,42,368,5,강원 강릉시,60
001P10085,부산 연제구,1,60,4,부산 우편집중국,4,16,295,20,중부권 광역우편물류센터,31,43,310,6,전남 강진군,59
