022P10099,전남 장흥군,중부권 광역우편물류센터,310,21,중부권 광역우편물류센터,전남 목포시,276,26
022P10102,울산 울주군,중부권 광역우편물류센터,320,15,중부권 광역우편물류센터,강원 태백시,430,28
022P10107,부산 동래구,중부권 광역우편물류센터,315,15,중부권 광역우편물류센터,경북 영주시,242,34
022P10108,전남 해남군,중부권 광역우편물류센터,310,19,중부권 광역우편물류센터,경기 고양시 일산동구,268,39
022P10116,울산 동구,중부권 광역우편물류센터,318,20,중부권 광역우편물류센터,전남 해남군,310,27
022P10120,강원 속초시,중부권 광역우편물류센터,415,18,중부권 광역우편물류센터,서울 동작구,226,41
022P10125,울산 동구,중부권 광역우편물류센터,318,20,중부권 광역우편물류센터,인천 중구,244,31
022P10127,강원 정선군,중부권 광역우편물류센터,327,11,중부권 광역우편물류센터,경기 고양시 일산동구,268,39
022P10132,강원 동해시,중부권 광역우편물류센터,410,18,중부권 광역우편물류센터,경기 파주시,286,34
022P10133,강원 양양군,중부권 광역우편물류센터,397,25,중부권 광역우편물류센터,경기 고양시 일산서구,268,26
022P10162,울산 북구,중부권 광역우편물류센터,318,11,중부권 광역우편물류센터,부산 북구,300,36
022P10168,울산 동구,중부권 광역우편물류센터,318,20,중부권 광역우편물류센터,경남 사천시,197,32
022P10172,강원 인제군,중부권 광역우편물류센터,359,21,중부권 광역우편물류센터,서울 동작구,226,41
022P10173,강원 강릉시,중부권 광역우편물류센터,368,16,중부권 광역우편물류센터,경기 김포시,262,29
023P10004,강원 강릉시,중부권 광역우편물류센터,368,16,중부권 광역우편물류센터,강원 평창군,287,30
023P10007,부산 북구,중부권 광역우편물류센터,300,22,중부권 광역우편물류센터,강원 인제군,359,26
023P10008,강원 정선군,중부권 광역우편물류센터,327,11,중부권 광역우편물류센터,서울 광진구,248,22
023P10027,부산 사하구,중부권 광역우편물류센터,308,17,중부권 광역우편물류센터,대구 수성구,212,28
023P10031,강원 태백시,중부권 광역우편물류센터,430,25,중부권 광역우편물류센터,전북 익산시,103,1
023P10032,울산 남구,중부권 광역우편물류센터,318,16,중부권 광역우편물류센터,경남 고성군,223,25
023P10033,부산 북구,중부권 광역우편물류센터,300,22,중부권 광역우편물류센터,경남 창원시 마산합포구,251,32
